publication_key,year,title_short,venue,doi,openalex_citations,google_scholar_citations,google_scholar_retrieved_date,google_scholar_source_url,google_scholar_match_notes
doi:10.22004/ag.econ.342913,2024,Total Ranch Analysis Colorado (TRAC): A Ranch Benchmarking Program,Journal of the American Society of Farm Managers and Rural Appraisers,10.22004/ag.econ.342913,,,,,
doi:10.22004/ag.econ.344756,2024,U.S. Meat Export Potential in ASEAN,Choices,10.22004/ag.econ.344756,,,,,
doi:10.22004/ag.econ.344758,2024,U.S. Soy Exports Could Crush it in ASEAN,Choices,10.22004/ag.econ.344758,,,,,
doi:10.3368/le.100.4.041023-0032r1,2024,Value of Farm Data in Farmland Rental Markets,Land Economics,10.3368/le.100.4.041023-0032r1,1,,,,
doi:10.22004/ag.econ.349293,2024,Virtual Fencing: Economic and Policy Implications of an Emerging Livestock Technology,Western Economics Forum,10.22004/ag.econ.349293,,,,,
doi:10.1016/j.rama.2024.03.004,2024,"What's in a Name? Standardizing Terminology for the Enhancement of Research, Extension, and Industry Applications of Virtual Fence Use on Grazing Livestock",Rangeland Ecology & Management,10.1016/j.rama.2024.03.004,11,,,,
doi:10.1017/age.2025.11,2025,A Baseline Assessment of School Food Spending and Local Procurement,Agricultural and Resource Economics Review,10.1017/age.2025.11,2,,,,
doi:10.1016/j.foodpol.2025.102996,2025,A Review of Data Linkages for Policy-Informing Research in Food and Ag Economics,Food Policy,10.1016/j.foodpol.2025.102996,3,,,,
doi:10.1111/ajae.70021,2025,Abatement subsidies for groundwater conservation,American Journal of Agricultural Economics,10.1111/ajae.70021,1,,,,
doi:10.1016/j.foohum.2025.100639,2025,Addressing retail meat waste: a focus group study on discolored beef,Food and Humanity,10.1016/j.foohum.2025.100639,5,,,,
doi:10.1016/j.cropro.2025.107134,2025,Alfalfa Harvest Timing Impacts on Alfalfa Weevil with Agronomic and Economic Contexts,Crop Production,10.1016/j.cropro.2025.107134,,,,,
doi:10.56103/nactaj.v69i1.210,2025,An examination of the effectiveness of an institutional intervention to improve retention,NACTA Journal,10.56103/nactaj.v69i1.210,0,,,,
doi:10.1002/jeq2.70051,2025,Building consensus toward an effective performance indicator framework for sustainable farms,Journal of Environmental Quality,10.1002/jeq2.70051,3,,,,
doi:10.1002/aepp.70037,2025,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,1,,,,
doi:10.1016/j.scitotenv.2025.179814,2025,Characterizing community water systems exposed to wildfire in the Western US,Science of the Total Environment,10.1016/j.scitotenv.2025.179814,0,,,,
doi:10.22004/ag.econ.344684,2025,Climate and Consolidation in the US Beef Cow Sector,Journal of Agricultural and Resource Economics,10.22004/ag.econ.344684,,,,,
doi:10.1016/j.gfs.2025.100840,2025,Context is Key to Understand and Improve Livestock Production Systems,Global Food Security,10.1016/j.gfs.2025.100840,27,,,,
doi:10.1093/tas/txaf169,2025,Developing critical thinking and professional skills in animal science students,Translational Animal Science,10.1093/tas/txaf169,1,,,,
doi:10.1016/j.rama.2025.08.009,2025,Does Initial Body Size Influence Weight Gain of Stocker Steers,Rangeland Ecology & Management,10.1016/j.rama.2025.08.009,0,,,,
doi:10.1016/j.rama.2024.04.011,2025,Does drought intensify effects of black-tailed prairie dog on livestock production,Rangeland Ecology & Management,10.1016/j.rama.2024.04.011,5,,,,
doi:10.1016/j.foodpol.2025.102827,2025,Dollar-Store Impact on Local Labor Markets and Retail Activity,Food Policy,10.1016/j.foodpol.2025.102827,3,,,,
doi:10.1093/jas/skaf322,2025,Evaluation of cattle sub-species and growth-promoting technology on growth performance,Journal of Animal Science,10.1093/jas/skaf322,0,,,,
doi:10.1093/jas/skaf448,2025,"Evaluation of cattle sub-species and growth-promoting technology on growth performance, carcass characteristics, and enteric gas flux of steers finished in winter feedlot conditions",Journal of Animal Science,10.1093/jas/skaf448,1,,,,
doi:10.1038/s44264-025-00105-w,2025,Examining climate benefits from rangeland and pasture management practices,Sustainable Agriculture,10.1038/s44264-025-00105-w,1,,,,
doi:10.22004/ag.econ.364767,2025,Exploring the Potential for Innovative Water Management Strategies to Support Irrigated Farmland Transitions,Western Economics Forum,10.22004/ag.econ.364767,,,,,
doi:10.1002/aepp.13531,2025,Exploring the Relationship between Growth in Online Shopping and Multichannel Food Consumers,Applied Economic Perspectives and Policy,10.1002/aepp.13531,0,,,,
doi:10.1371/journal.pone.0320316,2025,Externalities in Wild Pig Damages on US Crop and Livestock Farms,PLOS ONE,10.1371/journal.pone.0320316,2,,,,
doi:10.1016/j.jdeveco.2024.103414,2025,Going the Distance: Hybrid Vocational Training for Women in Nepal,Journal of Development Economics,10.1016/j.jdeveco.2024.103414,1,,,,
doi:10.1002/agr.22051,2025,Grocery Stockouts and Seller Performance in Amazon's Marketplaces,Agribusiness: An International Journal,10.1002/agr.22051,0,,,,
doi:10.22004/ag.econ.387628,2025,Hemp Farming and Credit Access in the United States,Journal of Agribusiness,10.22004/ag.econ.387628,0,,,,
doi:10.1080/08941920.2025.2572064,2025,How sense of place influences willingness to pay for sustainable wolf populations,Society & Natural Resources,10.1080/08941920.2025.2572064,0,,,,
doi:10.22004/ag.econ.364766,2025,Identifying a Path Forward: Evaluating Ranch Socio-Economic Sustainability,Western Economics Forum,10.22004/ag.econ.364766,,,,,
doi:10.3389/fvets.2025.1637190,2025,Incorporating Virtual Fencing to Manage Yearling Steers on Extensive Rangelands,Frontiers in Veterinary Science,10.3389/fvets.2025.1637190,1,,,,
doi:10.1088/1748-9326/add35e,2025,Inland flooding in the United States: a review,Environmental Research Letters,10.1088/1748-9326/add35e,1,,,,
doi:10.1016/j.jeem.2025.103125,2025,Insurance and Extraction Incentives in a Common Pool Resource,Journal of Environmental Economics and Management,10.1016/j.jeem.2025.103125,1,,,,
doi:10.1016/j.prevetmed.2025.106558,2025,Integrating epidemiological and economic models to estimate FMD outbreak cost in Brazil,Preventive Veterinary Medicine,10.1016/j.prevetmed.2025.106558,3,,,,
doi:10.1016/j.eneco.2024.108176,2025,Intermittency and uncertainty in wind and solar energy: Impacts on the French electricity market,Energy Economics,10.1016/j.eneco.2024.108176,34,,,,
doi:10.1016/j.resconrec.2025.108325,2025,Island economies in the wake: shipping cost effects from carbon taxes,Resources Conservation and Recycling,10.1016/j.resconrec.2025.108325,9,,,,
doi:10.22004/ag.econ.364770,2025,Labor Changes in the US Beef Industry Magnify Challenges with Succession,Western Economics Forum,10.22004/ag.econ.364770,,,,,
doi:10.1016/j.jclepro.2025.146920,2025,Life cycle assessment of open and closed hydroponic systems for vegetable production,Journal of Cleaner Production,10.1016/j.jclepro.2025.146920,7,,,,
doi:10.22434/ifamr.0001,2025,Machine learning in applied economics and agribusiness,International Food and Agribusiness Management Review,10.22434/ifamr.0001,0,,,,
doi:10.1111/ajae.12503,2025,Mapping Agents: A Spatial Economic Analysis of Agent Location in Federal Crop Insurance,American Journal of Agricultural Economics,10.1111/ajae.12503,1,,,,
doi:10.3389/fvets.2026.1752899,2025,Potential economy-wide impacts of an African swine fever outbreak in the United States,Frontiers in Veterinary Science,10.3389/fvets.2026.1752899,3,,,,
doi:10.1126/science.adz3885,2025,Reinstate the National Climate Assessment,Science,10.1126/science.adz3885,1,,,,
doi:10.1002/aepp.70031,2025,Relationship between Knowledge and Compliance with Safety Measures: COVID-19,Applied Economic Perspectives and Policy,10.1002/aepp.70031,0,,,,
doi:10.1016/j.eneco.2025.108351,2025,Residential demand for energy in light of changing solar prices,Energy Economics,10.1016/j.eneco.2025.108351,1,,,,
doi:10.1186/s40008-025-00359-0,2025,Revealing US Retail Industries Functional Hierarchy Through Demand Thresholds,Journal of Economic Structures,10.1186/s40008-025-00359-0,0,,,,
doi:10.1038/s41467-024-54163-8,2025,Solar energy resource availability under extreme and historical wildfire smoke conditions,Nature Communications,10.1038/s41467-024-54163-8,20,,,,
doi:10.1016/j.rama.2025.08.010,2025,Steer Growth Performance and Enteric Gas Flux Across Backgrounding Phases,Rangeland Ecology & Management,10.1016/j.rama.2025.08.010,1,,,,
doi:10.1002/ecs2.70397,2025,Synergies and trade-offs between ecosystem services and economics in dryland cover crop systems,Ecosphere,10.1002/ecs2.70397,2,,,,
doi:10.1111/twec.13731,2025,Tariff Troubles: Repercussions of Protectionist Policies on U.S. Agriculture,The World Economy,10.1111/twec.13731,5,,,,
doi:10.1016/j.rala.2024.05.006,2025,The Economic Fundamentals of Virtual Fencing Compared to Traditional Fencing,Rangelands,10.1016/j.rala.2024.05.006,14,,,,
doi:10.1016/j.foodpol.2024.102769,2025,The Information Value of Geographical Indications,Food Policy,10.1016/j.foodpol.2024.102769,8,,,,
doi:10.1016/j.tfp.2025.101081,2025,The unaccounted costs of slash pile burning,Trees Forests and People,10.1016/j.tfp.2025.101081,1,,,,
doi:10.1016/j.socec.2025.102403,2025,Time pressure and motivated delay effects on sanctioning in a social dilemma,Journal of Behavioral and Experimental Economics,10.1016/j.socec.2025.102403,0,,,,
doi:10.1093/biosci/biaf026,2025,Transdisciplinary research priorities for a One Health approach to human-wildlife coexistence,BioScience,10.1093/biosci/biaf026,4,,,,
doi:10.1002/aepp.13503,2025,U.S. Employment Exposure to Domestic and Foreign Tariff Changes under NAFTA,Applied Economic Perspectives and Policy,10.1002/aepp.13503,0,,,,
doi:10.1016/j.rama.2025.01.007,2025,US Beef Cattle Inventory Trends with Implications for Land Use and Rangelands,Rangeland Ecology & Management,10.1016/j.rama.2025.01.007,4,,,,
doi:10.1080/10871209.2024.2414880,2025,US livestock producer interest in alternatives to compensation programs for wolf depredation,Human Dimensions of Wildlife,10.1080/10871209.2024.2414880,3,,,,
doi:10.5032/jae.v66i4.3220,2025,Understanding Barriers to SAE Implementation and Professional Development Needs,Journal of Agricultural Education,10.5032/jae.v66i4.3220,0,,,,
doi:10.3389/fclim.2025.1398452,2025,Unwinding the Spiral of Silence in Rural America,Frontiers in Climate,10.3389/fclim.2025.1398452,0,,,,
doi:10.1029/2024wr038504,2025,Water scarcity compounds negative effects of salinity on irrigated agriculture,Water Resources Research,10.1029/2024wr038504,0,,,,
doi:10.1016/j.worlddev.2025.107078,2025,Who is Asking and How? Effects of Survey Mode and Enumerator Gender,World Development,10.1016/j.worlddev.2025.107078,1,,,,
doi:10.1016/j.rama.2026.04.003,2026,"Adaptive, Multipaddock Grazing Management Increased C3 and Reduced C4 Graminoids Without Changing Total Forage Production in Shortgrass Steppe",Rangeland Ecology & Management,10.1016/j.rama.2026.04.003,0,,,,
doi:10.3368/le.102.3.012626-0015,2026,Are mobility data a substitute for travel cost surveys,Land Economics,10.3368/le.102.3.012626-0015,1,,,,
doi:10.1093/qopen/qoag018,2026,Assessing Factors Contributing to a Healthy Work Ecosystem in the Applied Economics Profession,Q Open,10.1093/qopen/qoag018,0,,,,
doi:10.1007/s10640-026-01072-7,2026,Climate Intervention and Mitigation: Strategic Responses to Technological Advances in Solar Geoengineering,Environmental and Resource Economics,10.1007/s10640-026-01072-7,0,,,,
doi:10.1038/s41597-026-07753-8,2026,Data-usage descriptors as search metadata: the case of food security data and the National Data Platform,Scientific Data,10.1038/s41597-026-07753-8,0,,,,
doi:10.7717/peerj.20732,2026,Drivers of wolf depredation reporting and compensation use intentions by livestock producers,PeerJ,10.7717/peerj.20732,0,,,,
doi:10.1093/tas/txag072,2026,"Effects of growth hormone implants on animal growth performance, feed intake, carcass characteristics, feeding behavior, gas flux emissions, and relative profitability of finishing Angus steers",Translational Animal Science,10.1093/tas/txag072,0,,,,
doi:10.1002/ajae.70071,2026,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,0,,,,
doi:10.1093/qopen/qoag010,2026,"Food fights in the classroom: a case study exploring the connections between economic reasoning, critical thinking, engagement, and dialogue in polarized contexts",Q Open,10.1093/qopen/qoag010,1,,,,
doi:10.2989/10220119.2025.2585814,2026,From data to decisions: the potential of real-time precision technologies to enhance adaptive grazing management for livestock ranchers,African Journal of Range & Forage Science,10.2989/10220119.2025.2585814,1,,,,
doi:10.1016/j.foodcont.2025.111582,2026,Fungal ecology and postharvest factors driving aflatoxin contamination in Ghanaian groundnuts,Food Control,10.1016/j.foodcont.2025.111582,,,,,
doi:10.1016/j.worlddev.2025.107182,2026,Gendered Networks and Demand for an Agricultural Technology in India,World Development,10.1016/j.worlddev.2025.107182,1,,,,
doi:10.1029/2025wr040427,2026,Groundwater management amidst a changing climate: A more severe climate could decrease the value of groundwater conservation,Water Resources Research,10.1029/2025wr040427,0,,,,
doi:10.3168/jds.2025-28132,2026,Integrating automated body condition scores and lactation data via optimization algorithms for maximized milk revenue and minimized cost of delayed conception in dairy cows,Journal of Dairy Science,10.3168/jds.2025-28132,0,,,,
doi:10.5032/jae.v67i1.3218,2026,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge,Journal of Agricultural Education,10.5032/jae.v67i1.3218,0,,,,
doi:10.1002/aepp.70047,2026,"Livestock Tango: US and Latin America Dance Together, but Who Will Lead?",Applied Economic Perspectives and Policy,10.1002/aepp.70047,0,,,,
doi:10.1186/s13021-026-00431-7,2026,Merging rigor and relevance in grazingland research: a comprehensive social-ecological monitoring approach,Carbon Balance and Management,10.1186/s13021-026-00431-7,1,,,,
doi:10.1016/j.jhealeco.2026.103121,2026,Nurse practitioner training and local medical provider supply,Journal of Health Economics,10.1016/j.jhealeco.2026.103121,0,,,,
doi:10.1016/j.rama.2026.05.006,2026,Nutrient Runoff From North American Grasslands,Rangeland Ecology & Management,10.1016/j.rama.2026.05.006,0,,,,
doi:10.1002/aepp.70039,2026,Quantitative Comparison of Ad-Valorem Equivalents for Non-Tariff Trade Measures: WTO Versus TRAINS,Applied Economic Perspectives and Policy,10.1002/aepp.70039,0,,,,
doi:10.1002/jaa2.70044,2026,Regionalizing the food dollar,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.70044,0,,,,
doi:10.1038/s41586-026-10251-x,2026,Reproducibility and robustness of economics and political science research,Nature,10.1038/s41586-026-10251-x,7,,,,
doi:10.1111/jrh.70112,2026,Rural emergency hospitals: Emerging patterns of adaptation and community perception,The Journal of Rural Health,10.1111/jrh.70112,0,,,,
doi:10.1111/gcb.70909,2026,Soil Organic Carbon Improves Crop Yield and Yield Resilience,Global Change Biology,10.1111/gcb.70909,0,,,,
titleyear:stochastic risk and economic analyses of hydroponic systems |2026,2026,Stochastic Risk and Economic Analyses of Hydroponic Systems for Vegetable Production under Arid Lands Conditions,J. Agricultural and Environmental Information Systems,,,,,,
doi:10.1002/ajae.70083,2026,The role of venture-financed startups in innovation for US agriculture,American Journal of Agricultural Economics,10.1002/ajae.70083,0,,,,
doi:10.1111/cobi.70326,2026,Toward Coexistence: A Psychometric Framework for Large Carnivore Conservation.,Conservation Biology,10.1111/cobi.70326,1,,,,
doi:10.1016/j.rama.2026.03.004,2026,Unravelling the Influence of Adaptive Grazing Management with Multiple Paddocks on Cattle Production in Semiarid Rangeland,Rangeland Ecology & Management,10.1016/j.rama.2026.03.004,0,,,,
