publication_key,oa_id,doi_raw,doi_clean,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors
doi:10.1016/j.rama.2024.01.007,W4391848077,https://doi.org/10.1016/j.rama.2024.01.007,10.1016/j.rama.2024.01.007,Flexible Stocking: Livestock Production and Economic Responses in Mixed-Grass Prairie,2024,2024-02-15,article,2,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,6
doi:10.1002/ecs2.70397,W4414175545,https://doi.org/10.1002/ecs2.70397,10.1002/ecs2.70397,Synergies and trade‐offs between ecosystem services and economics in dryland cover crop systems,2025,2025-09-01,article,2,Ecosphere,2150-8925,Wiley,TRUE,FALSE,9
doi:10.1038/s44264-025-00105-w,W4416850448,https://doi.org/10.1038/s44264-025-00105-w,10.1038/s44264-025-00105-w,"Examining climate benefits from rangeland and pasture management practices in the United States: opportunities, tradeoffs, and information gaps",2025,2025-12-01,article,1,npj Sustainable Agriculture,2731-9202,NA,TRUE,FALSE,11
doi:10.1093/jas/skaf448,W7117544177,https://doi.org/10.1093/jas/skaf448,10.1093/jas/skaf448,"Evaluation of cattle sub-species and growth-promoting technology on growth performance, carcass characteristics, and enteric gas flux of steers finished in winter feedlot conditions",2025,2025-12-27,article,1,Journal of Animal Science,0021-8812,Oxford University Press,TRUE,FALSE,14
doi:10.1002/aepp.13383,W4377104004,https://doi.org/10.1002/aepp.13383,10.1002/aepp.13383,Coping with COVID‐19 shocks in rural Nepal,2023,2023-05-18,article,4,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,3
doi:10.15232/aas.2022-02322,W4296713815,https://doi.org/10.15232/aas.2022-02322,10.15232/aas.2022-02322,Effects of harvest season on carcass characteristics of lambs in the Intermountain West,2022,2022-09-21,article,3,Applied Animal Science,2590-2865,Elsevier BV,FALSE,FALSE,8
doi:10.1016/j.forpol.2023.103071,W4388202182,https://doi.org/10.1016/j.forpol.2023.103071,10.1016/j.forpol.2023.103071,"A spatial dependence approach to assessing the impacts of Sustainable Forestry Initiative’s Fiber Sourcing certification on forestry Best Management Practices in Georgia, United States",2023,2023-10-26,article,0,Forest Policy and Economics,1389-9341,Elsevier BV,FALSE,FALSE,3
doi:10.1002/jaa2.93,W4389228450,https://doi.org/10.1002/jaa2.93,10.1002/jaa2.93,Estimating the ex ante adoption determinants of novel cropping systems with nonpecuniary benefits,2023,2023-11-30,article,0,Journal of the Agricultural and Applied Economics Association,2769-2485,Wiley,TRUE,FALSE,2
doi:10.1016/j.rama.2025.08.009,W4414414261,https://doi.org/10.1016/j.rama.2025.08.009,10.1016/j.rama.2025.08.009,Does Initial Body Size Influence Weight Gain of Stocker Steers During the Growing Season in Semiarid Western Great Plains Rangeland?,2025,2025-09-23,article,0,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,5
doi:10.22004/ag.econ.387628,W7125015489,https://doi.org/10.22004/ag.econ.387628,10.22004/ag.econ.387628,Hemp Farming and Credit Access in the United States: Developing a Conceptual Framework for Future Research,2022,2022-01-01,article,0,"AgEcon Search (University of Minnesota, USA)",NA,University of Minnesota Rochester,TRUE,FALSE,3
doi:10.1016/j.rama.2026.03.004,W7155510746,https://doi.org/10.1016/j.rama.2026.03.004,10.1016/j.rama.2026.03.004,Unravelling the Influence of Adaptive Grazing Management with Multiple Paddocks on Cattle Production in Semiarid Rangeland,2026,2026-04-24,article,0,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,8
doi:10.1016/j.rama.2026.04.003,W7162435065,https://doi.org/10.1016/j.rama.2026.04.003,10.1016/j.rama.2026.04.003,"Adaptive, Multipaddock Grazing Management Increased C3 and Reduced C4 Graminoids Without Changing Total Forage Production in Shortgrass Steppe",2026,2026-05-26,article,0,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,7
doi:10.1093/tas/txag072,W7162752579,https://doi.org/10.1093/tas/txag072,10.1093/tas/txag072,"Effects of growth hormone implants on animal growth performance, feed intake, carcass characteristics, feeding behavior, gas flux emissions, and relative profitability of finishing Angus steers",2026,2026-01-01,article,0,Translational Animal Science,2573-2102,Oxford University Press,TRUE,FALSE,12
doi:10.1016/j.rama.2026.05.006,W7166506521,https://doi.org/10.1016/j.rama.2026.05.006,10.1016/j.rama.2026.05.006,Nutrient Runoff From North American Grasslands,2026,2026-06-29,article,0,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,10
doi:10.1016/j.ecoser.2024.101601,W4391517522,https://doi.org/10.1016/j.ecoser.2024.101601,10.1016/j.ecoser.2024.101601,Investing in the wealth of nature through biodiversity and ecosystem service finance solutions,2024,2024-02-03,article,54,Ecosystem Services,2212-0416,Elsevier BV,FALSE,FALSE,5
doi:10.1038/s41559-020-01372-1,W3122428385,https://doi.org/10.1038/s41559-020-01372-1,10.1038/s41559-020-01372-1,The effectiveness of national biodiversity investments to protect the wealth of nature,2021,2021-01-18,article,47,Nature Ecology & Evolution,2397-334X,Nature Portfolio,FALSE,FALSE,5
doi:10.1016/j.eneco.2024.108176,W4406268583,https://doi.org/10.1016/j.eneco.2024.108176,10.1016/j.eneco.2024.108176,Intermittency and uncertainty in wind and solar energy: Impacts on the French electricity market,2025,2025-01-10,article,34,Energy Economics,0140-9883,Elsevier BV,FALSE,FALSE,3
doi:10.1111/conl.12955,W4384342652,https://doi.org/10.1111/conl.12955,10.1111/conl.12955,Essential planetary health workers: Positioning rangers within global policy,2023,2023-07-01,article,22,Conservation Letters,1755-263X,Wiley,TRUE,FALSE,15
doi:10.1038/s41586-026-10251-x,W7147329468,https://doi.org/10.1038/s41586-026-10251-x,10.1038/s41586-026-10251-x,Reproducibility and robustness of economics and political science research,2026,2026-04-01,article,7,Nature,0028-0836,Nature Portfolio,TRUE,FALSE,100
doi:10.2305/iucn.ch.2021.parks-27-sitc.en,W3137015242,https://doi.org/10.2305/iucn.ch.2021.parks-27-sitc.en,10.2305/iucn.ch.2021.parks-27-sitc.en,Building sustainable finance for resilient protected and conserved areas: lessons from COVID-19,2021,2021-03-11,article,35,PARKS,0960-233X,World Commission on Protected Areas,TRUE,FALSE,7
doi:10.1016/j.jebo.2021.12.012,W4200145669,https://doi.org/10.1016/j.jebo.2021.12.012,10.1016/j.jebo.2021.12.012,Experimental evidence of common pool resource use in the presence of uncertainty,2021,2021-12-29,article,22,Journal of Economic Behavior & Organization,0167-2681,Elsevier BV,FALSE,FALSE,3
doi:10.1016/j.buildenv.2021.108390,W3203151447,https://doi.org/10.1016/j.buildenv.2021.108390,10.1016/j.buildenv.2021.108390,Sociodemographic variations in the association between indoor environmental quality in school buildings and student performance,2021,2021-09-22,article,18,Building and Environment,0360-1323,Elsevier BV,FALSE,FALSE,8
doi:10.1111/ajae.12415,W4381852009,https://doi.org/10.1111/ajae.12415,10.1111/ajae.12415,Social comparisons and groundwater use: Evidence from <scp>Colorado</scp> and <scp>Kansas</scp>,2023,2023-06-22,article,13,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4
doi:10.1016/j.foodpol.2024.102672,W4400314702,https://doi.org/10.1016/j.foodpol.2024.102672,10.1016/j.foodpol.2024.102672,"Measuring changes in pork demand, welfare effects, and the role of information sources in the event of an African swine fever outbreak in the United States",2024,2024-07-01,article,11,Food Policy,0306-9192,Elsevier BV,FALSE,FALSE,3
doi:10.1086/729841,W4391542603,https://doi.org/10.1086/729841,10.1086/729841,Intermittency or Uncertainty? Impacts of Renewable Energy in Electricity Markets,2024,2024-02-05,article,10,Journal of the Association of Environmental and Resource Economists,2333-5955,University of Chicago Press,FALSE,FALSE,2
doi:10.1016/j.foodpol.2024.102727,W4402951903,https://doi.org/10.1016/j.foodpol.2024.102727,10.1016/j.foodpol.2024.102727,A comment on USDA Food Business Centers: Collaborations to nurture innovation in the food system,2024,2024-09-29,article,2,Food Policy,0306-9192,Elsevier BV,FALSE,FALSE,3
doi:10.1002/aepp.13046,W3042925910,https://doi.org/10.1002/aepp.13046,10.1002/aepp.13046,Local Foods Go Downstream: Exploring the Spatial Factors Driving U.S. Food Manufacturing,2020,2020-07-13,article,20,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4
doi:10.1016/j.ocecoaman.2023.106726,W4383032658,https://doi.org/10.1016/j.ocecoaman.2023.106726,10.1016/j.ocecoaman.2023.106726,Crowdfunding marine and coastal protected areas: Reducing the revenue gap and financial vulnerabilities revealed by COVID-19,2023,2023-07-03,article,10,Ocean & Coastal Management,0964-5691,Elsevier BV,FALSE,FALSE,11
doi:10.1016/j.jeem.2023.102820,W4367396773,https://doi.org/10.1016/j.jeem.2023.102820,10.1016/j.jeem.2023.102820,Linking carbon markets with different initial conditions,2023,2023-04-29,article,9,Journal of Environmental Economics and Management,0095-0696,Elsevier BV,FALSE,FALSE,1
doi:10.1016/j.eneco.2025.108351,W4407954727,https://doi.org/10.1016/j.eneco.2025.108351,10.1016/j.eneco.2025.108351,Residential demand for energy in light of changing solar prices,2025,2025-02-26,article,1,Energy Economics,0140-9883,Elsevier BV,FALSE,FALSE,3
doi:10.1002/aepp.13047,W3043543695,https://doi.org/10.1002/aepp.13047,10.1002/aepp.13047,Do Cottage Food Laws Reduce Barriers to Entry for Food Manufacturers?,2020,2020-07-13,article,10,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,3
doi:10.1016/j.ecoser.2021.101351,W3193367627,https://doi.org/10.1016/j.ecoser.2021.101351,10.1016/j.ecoser.2021.101351,Finance for nature: Bridging the blue-green investment gap to inform the post-2020 global biodiversity framework,2021,2021-08-14,article,6,Ecosystem Services,2212-0416,Elsevier BV,FALSE,FALSE,2
doi:10.1016/j.jort.2023.100690,W4387150601,https://doi.org/10.1016/j.jort.2023.100690,10.1016/j.jort.2023.100690,Camping in clearcuts: The impacts of timber harvesting on USFS campground utilization,2023,2023-09-28,article,5,Journal of Outdoor Recreation and Tourism,2213-0780,Elsevier BV,TRUE,FALSE,3
doi:10.1111/csp2.13273,W4404445485,https://doi.org/10.1111/csp2.13273,10.1111/csp2.13273,Cost–benefit analysis as a decision tool for effective conservation planning—The case of the Nyerere Selous‐Udzungwa wildlife corridor in Tanzania,2024,2024-11-15,article,2,Conservation Science and Practice,2578-4854,Society for Conservation Biology,TRUE,FALSE,9
doi:10.1016/j.tfp.2025.101081,W4416373336,https://doi.org/10.1016/j.tfp.2025.101081,10.1016/j.tfp.2025.101081,"The unaccounted costs of slash pile burning: Carbon emissions and PM2.5 exposure in central Oregon, USA",2025,2025-11-19,article,1,Trees Forests and People,2666-7193,Elsevier BV,TRUE,FALSE,3
doi:10.1017/age.2025.11,W4409114506,https://doi.org/10.1017/age.2025.11,10.1017/age.2025.11,A roadmap for modeling institutional and values-based procurement decisions in food supply chains,2025,2025-04-01,article,2,Agricultural and Resource Economics Review,1068-2805,Cambridge University Press,TRUE,FALSE,4
doi:10.1007/s10640-022-00690-1,W4283699050,https://doi.org/10.1007/s10640-022-00690-1,10.1007/s10640-022-00690-1,Lottery Incentives and Resource Management: Evidence from the Agricultural Data Reporting Incentive Program (AgDRIP),2022,2022-06-28,article,3,Environmental and Resource Economics,0924-6460,Springer Science+Business Media,FALSE,FALSE,7
doi:10.1002/jaa2.78,W4386031430,https://doi.org/10.1002/jaa2.78,10.1002/jaa2.78,"Seasons, stress, salience, and support for cooperative groundwater management",2023,2023-08-21,article,2,Journal of the Agricultural and Applied Economics Association,2769-2485,Wiley,TRUE,FALSE,3
doi:10.3368/wple.97.3.030320-0031r1,W3204241389,https://doi.org/10.3368/wple.97.3.030320-0031r1,10.3368/wple.97.3.030320-0031r1,The Importance of Well Yield in Groundwater Demand Specifications,2021,2021-08-01,article,1,Land Economics,0023-7639,University of Wisconsin Press,FALSE,FALSE,4
doi:10.1002/aepp.13454,W4399361991,https://doi.org/10.1002/aepp.13454,10.1002/aepp.13454,Measuring the economic contribution of Agricultural and Applied Economics departments in the United States,2024,2024-06-05,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4
doi:10.3390/tourhosp5030032,W4399882779,https://doi.org/10.3390/tourhosp5030032,10.3390/tourhosp5030032,Assessing Economic Impacts of Mile High 420 Festival in Colorado,2024,2024-06-21,article,0,Tourism and Hospitality,2673-5768,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,3
doi:10.1002/aepp.13531,W4410757952,https://doi.org/10.1002/aepp.13531,10.1002/aepp.13531,Exploring the relationship between growth in online shopping and multichannel food consumers,2025,2025-05-25,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,2
doi:10.1016/j.socec.2025.102403,W4412450665,https://doi.org/10.1016/j.socec.2025.102403,10.1016/j.socec.2025.102403,Time pressure and motivated delay effects on sanctioning in a social dilemma: Experimental evidence,2025,2025-07-15,article,0,Journal of Behavioral and Experimental Economics,2214-8043,Elsevier BV,TRUE,FALSE,2
doi:10.3389/fclim.2025.1398452,W4413179794,https://doi.org/10.3389/fclim.2025.1398452,10.3389/fclim.2025.1398452,Unwinding the spiral of silence in rural America: looking backward with stories to plan forward,2025,2025-08-13,article,0,Frontiers in Climate,2624-9553,Frontiers Media,TRUE,FALSE,9
doi:10.1029/2024wr038504,W4415701601,https://doi.org/10.1029/2024wr038504,10.1029/2024wr038504,Water Scarcity Compounds the Negative Effects of Salinity on Irrigated Agriculture,2025,2025-10-30,article,0,Water Resources Research,0043-1397,Wiley,TRUE,FALSE,6
doi:10.1186/s40008-025-00359-0,W4415995576,https://doi.org/10.1186/s40008-025-00359-0,10.1186/s40008-025-00359-0,Revealing U.S. retail industries’ functional hierarchy through demand thresholds,2025,2025-11-07,article,0,Journal of Economic Structures,2193-2409,Springer Nature,TRUE,FALSE,5
doi:10.1111/jrh.70112,W7124536210,https://doi.org/10.1111/jrh.70112,10.1111/jrh.70112,Rural emergency hospitals: Emerging patterns of adaptation and community perception,2026,2026-01-01,article,0,The Journal of Rural Health,0890-765X,Wiley,TRUE,FALSE,6
doi:10.1016/j.jhealeco.2026.103121,W7128963714,https://doi.org/10.1016/j.jhealeco.2026.103121,10.1016/j.jhealeco.2026.103121,Nurse practitioner training and local medical provider supply,2026,2026-02-15,article,0,Journal of Health Economics,0167-6296,Elsevier BV,FALSE,FALSE,4
doi:10.1029/2025wr040427,W7162135996,https://doi.org/10.1029/2025wr040427,10.1029/2025wr040427,Groundwater Management Amidst a Changing Climate: A More Severe Climate Could Decrease the Value of Groundwater Conservation,2026,2026-05-01,article,0,Water Resources Research,0043-1397,Wiley,TRUE,FALSE,9
doi:10.1002/jaa2.70044,W7162422700,https://doi.org/10.1002/jaa2.70044,10.1002/jaa2.70044,Regionalizing the food dollar,2026,2026-05-26,article,0,Journal of the Agricultural and Applied Economics Association,2769-2485,Wiley,TRUE,FALSE,3
doi:10.1093/qopen/qoag018,W7163986589,https://doi.org/10.1093/qopen/qoag018,10.1093/qopen/qoag018,Assessing factors contributing to a healthy work ecosystem in the applied economics profession,2026,2026-06-06,article,0,Q Open,2633-9048,Oxford University Press,TRUE,FALSE,8
doi:10.1016/j.jclepro.2023.139224,W4387454956,https://doi.org/10.1016/j.jclepro.2023.139224,10.1016/j.jclepro.2023.139224,Sustainability of lettuce production: A comparison of local and centralized food production,2023,2023-10-09,article,22,Journal of Cleaner Production,0959-6526,Elsevier BV,FALSE,FALSE,3
doi:10.1038/s41597-026-07753-8,W7201847054,https://doi.org/10.1038/s41597-026-07753-8,10.1038/s41597-026-07753-8,Data-usage descriptors as search metadata: the case of food security data and the National Data Platform,2026,2026-08-07,data-paper,0,Scientific Data,2052-4463,Nature Portfolio,TRUE,FALSE,6
