publication_key,oa_id,doi_clean,au_key,au_id,au_display_name,au_name_norm,au_orcid,author_position,is_corresponding,institution,ror,country_code,institution_type,raw_affiliation
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5088421669,A5088421669,Debashis Ghosh,debashis ghosh,0000-0002-3746-9414,middle,FALSE,Colorado Department of Public Health and Environment,https://ror.org/019rjbt98,US,government,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5088421669,A5088421669,Debashis Ghosh,debashis ghosh,0000-0002-3746-9414,middle,FALSE,Colorado School of Public Health,https://ror.org/005x9g035,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5088421669,A5088421669,Debashis Ghosh,debashis ghosh,0000-0002-3746-9414,middle,FALSE,University of Colorado Boulder,https://ror.org/02ttsq026,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5088421669,A5088421669,Debashis Ghosh,debashis ghosh,0000-0002-3746-9414,middle,FALSE,University of Colorado Denver,https://ror.org/02hh7en24,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5088421669,A5088421669,Debashis Ghosh,debashis ghosh,0000-0002-3746-9414,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5078943551,A5078943551,Rachel Herlihy,rachel herlihy,0000-0003-4535-2299,middle,FALSE,Colorado Department of Public Health and Environment,https://ror.org/019rjbt98,US,government,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5078943551,A5078943551,Rachel Herlihy,rachel herlihy,0000-0003-4535-2299,middle,FALSE,Colorado School of Public Health,https://ror.org/005x9g035,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5078943551,A5078943551,Rachel Herlihy,rachel herlihy,0000-0003-4535-2299,middle,FALSE,University of Colorado Boulder,https://ror.org/02ttsq026,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5078943551,A5078943551,Rachel Herlihy,rachel herlihy,0000-0003-4535-2299,middle,FALSE,University of Colorado Denver,https://ror.org/02hh7en24,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5078943551,A5078943551,Rachel Herlihy,rachel herlihy,0000-0003-4535-2299,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Denver, Colorado, USA (J. Adams);"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5005410467,A5005410467,Elizabeth J. Carlton,elizabeth j carlton,0000-0002-8664-9606,last,FALSE,Colorado Department of Public Health and Environment,https://ror.org/019rjbt98,US,government,"University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Denver, Colorado, USA (J. Adams);; Colorado School of Public Health, Aurora, Colorado, USA"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5005410467,A5005410467,Elizabeth J. Carlton,elizabeth j carlton,0000-0002-8664-9606,last,FALSE,Colorado School of Public Health,https://ror.org/005x9g035,US,education,"University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Denver, Colorado, USA (J. Adams);; Colorado School of Public Health, Aurora, Colorado, USA"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5005410467,A5005410467,Elizabeth J. Carlton,elizabeth j carlton,0000-0002-8664-9606,last,FALSE,University of Colorado Boulder,https://ror.org/02ttsq026,US,education,"University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Denver, Colorado, USA (J. Adams);; Colorado School of Public Health, Aurora, Colorado, USA"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5005410467,A5005410467,Elizabeth J. Carlton,elizabeth j carlton,0000-0002-8664-9606,last,FALSE,University of Colorado Denver,https://ror.org/02hh7en24,US,education,"University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Denver, Colorado, USA (J. Adams);; Colorado School of Public Health, Aurora, Colorado, USA"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5005410467,A5005410467,Elizabeth J. Carlton,elizabeth j carlton,0000-0002-8664-9606,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"University of Colorado, Boulder, Colorado, USA (D. Bortz);; Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Denver, Colorado, USA (J. Adams);; Colorado School of Public Health, Aurora, Colorado, USA"
doi:10.1016/j.foodpol.2021.102045,W3137539494,10.1016/j.foodpol.2021.102045,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,first,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Clark Building, Room B327, Fort Collins, CO 80524, United States"
doi:10.1016/j.foodpol.2021.102045,W3137539494,10.1016/j.foodpol.2021.102045,A5079266775,A5079266775,Sachintha Mendis,sachintha mendis,0000-0001-8637-5193,last,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO 80524, United States"
doi:10.1016/j.foodpol.2021.102119,W3175602227,10.1016/j.foodpol.2021.102119,A5046355588,A5046355588,Todd M. Schmit,todd m schmit,0000-0002-7297-554X,first,TRUE,Cornell University,https://ror.org/05bnh6r87,US,education,"Charles H. Dyson School of Applied Economics and Management, Cornell University, Warren Hall, Ithaca, NY 14853, USA"
doi:10.1016/j.foodpol.2021.102119,W3175602227,10.1016/j.foodpol.2021.102119,A5055158106,A5055158106,Becca B.R. Jablonski,becca b r jablonski,0000-0002-6404-039X,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Clark Building, Fort Collins, CO, USA"
doi:10.1016/j.foodpol.2021.102119,W3175602227,10.1016/j.foodpol.2021.102119,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Clark Building, Fort Collins, CO, USA"
doi:10.1016/j.foodpol.2021.102119,W3175602227,10.1016/j.foodpol.2021.102119,A5052664280,A5052664280,Thomas G. Johnson,thomas g johnson,0000-0002-1245-0776,last,FALSE,University of Missouri,https://ror.org/02ymw8z06,US,education,"Harry S. Truman School of Public Affairs, University of Missouri, Middlebrush Hall, Columbia, MO 65211, USA"
doi:10.1016/j.idm.2022.07.003,W4285603340,10.1016/j.idm.2022.07.003,A5009108675,A5009108675,Bailey K. Fosdick,bailey k fosdick,0000-0003-3736-2219,first,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Statistics, Colorado State University, Ft. Collins, CO, 80523, USA"
doi:10.1016/j.idm.2022.07.003,W4285603340,10.1016/j.idm.2022.07.003,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Ft. Collins, CO, 80523, USA"
doi:10.1016/j.idm.2022.07.003,W4285603340,10.1016/j.idm.2022.07.003,A5070216197,A5070216197,Jake Dilliott,jake dilliott,NA,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Ft. Collins, CO, 80523, USA"
doi:10.1016/j.idm.2022.07.003,W4285603340,10.1016/j.idm.2022.07.003,A5021525847,A5021525847,Gregory D. Ebel,gregory d ebel,0000-0002-4458-9959,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Arthropod-Borne and Infectious Diseases Laboratory, Department of Microbiology, Immunology and Pathology, Colorado State University, Ft. Collins, CO, 80526, USA"
doi:10.1016/j.idm.2022.07.003,W4285603340,10.1016/j.idm.2022.07.003,A5076354561,A5076354561,Nicole Ehrhart,nicole ehrhart,0000-0002-9868-488X,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Columbine Health Systems Center for Healthy Aging and Department of Clinical Sciences, Colorado State University, Ft. Collins, CO, 80523, USA"
doi:10.1080/00036846.2020.1866160,W3132144767,10.1080/00036846.2020.1866160,A5055643026,A5055643026,Giulia Tiboldo,giulia tiboldo,0000-0002-5599-9750,first,TRUE,Università Cattolica del Sacro Cuore,https://ror.org/03h7r5v07,IT,education,"Università Cattolica del Sacro Cuore; Università Cattolica del Sacro Cuore, Piacenza, Italy"
doi:10.1080/00036846.2020.1866160,W3132144767,10.1080/00036846.2020.1866160,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University; Colorado State University, Fort Collins, CO, USA"
doi:10.1080/00036846.2020.1866160,W3132144767,10.1080/00036846.2020.1866160,A5036920802,A5036920802,Rigoberto A. López,rigoberto a lopez,0000-0001-7106-1896,middle,FALSE,University of Connecticut,https://ror.org/02der9h97,US,education,"University of Connecticut; University of Connecticut, Storrs, CT, USA"
doi:10.1080/00036846.2020.1866160,W3132144767,10.1080/00036846.2020.1866160,A5072613671,A5072613671,Elena Castellari,elena castellari,0000-0002-5012-7574,last,FALSE,Università Cattolica del Sacro Cuore,https://ror.org/03h7r5v07,IT,education,"Università Cattolica del Sacro Cuore; Università Cattolica del Sacro Cuore, Piacenza, Italy"
doi:10.1080/21606544.2022.2059015,W4224076156,10.1080/21606544.2022.2059015,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,first,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO, USA"
doi:10.1080/21606544.2022.2059015,W4224076156,10.1080/21606544.2022.2059015,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO, USA"
doi:10.1080/21606544.2022.2059015,W4224076156,10.1080/21606544.2022.2059015,A5039842908,A5039842908,Makena Coffman,makena coffman,0000-0002-1287-0025,middle,FALSE,University of Hawaiʻi at Mānoa,https://ror.org/01wspgy28,US,education,"Institute for Sustainability and Resilience, Dept. of Urban and Regional Planning and University of Hawai’i Economic Research Organization, University of Hawai’i at Mānoa, Honolulu, HI, USA"
doi:10.1080/21606544.2022.2059015,W4224076156,10.1080/21606544.2022.2059015,A5039842908,A5039842908,Makena Coffman,makena coffman,0000-0002-1287-0025,middle,FALSE,University of Hawaii System,https://ror.org/03tzaeb71,US,education,"Institute for Sustainability and Resilience, Dept. of Urban and Regional Planning and University of Hawai’i Economic Research Organization, University of Hawai’i at Mānoa, Honolulu, HI, USA"
doi:10.1080/21606544.2022.2059015,W4224076156,10.1080/21606544.2022.2059015,A5063778213,A5063778213,Sherilyn Hayashida,sherilyn hayashida,0000-0001-9853-9343,middle,TRUE,University of Hawaiʻi at Mānoa,https://ror.org/01wspgy28,US,education,"University of Hawai’i Economic Research Organization, University of Hawai’i at Mānoa, Honolulu, HI, USA"
doi:10.1080/21606544.2022.2059015,W4224076156,10.1080/21606544.2022.2059015,A5052613327,A5052613327,Sumner La Croix,sumner la croix,0000-0003-4690-6927,last,FALSE,University of Hawaiʻi at Mānoa,https://ror.org/01wspgy28,US,education,"Dept. of Economics and University of Hawai’i Economic Research Organization, University of Hawai’i at Mānoa, Honolulu, HI, USA"
doi:10.1007/s11747-024-01003-2,W4391538670,10.1007/s11747-024-01003-2,A5000759766,A5000759766,Praveen K. Kopalle,praveen k kopalle,0000-0002-2430-2228,first,TRUE,Dartmouth College,https://ror.org/049s0rh22,US,education,"Tuck School of Business, Dartmouth College, Hanover, NH, 03755, USA"
doi:10.1007/s11747-024-01003-2,W4391538670,10.1007/s11747-024-01003-2,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University, 1200 Center Avenue Mall, Fort Collins, CO, 80523, USA"
doi:10.1007/s11747-024-01003-2,W4391538670,10.1007/s11747-024-01003-2,A5070767048,A5070767048,Kenneth Gillingham,kenneth gillingham,0000-0002-7329-2660,middle,FALSE,Yale University,https://ror.org/03v76x132,US,education,"School of the Environment, Yale University, 195 Prospect Street, New Haven, CT, 06511, USA"
doi:10.1007/s11747-024-01003-2,W4391538670,10.1007/s11747-024-01003-2,A5009018794,A5009018794,Lauren Grewal,lauren grewal,0000-0003-4644-8815,middle,FALSE,Dartmouth College,https://ror.org/049s0rh22,US,education,"Tuck School of Business, Dartmouth College, Hanover, NH, 03755, USA"
doi:10.1007/s11747-024-01003-2,W4391538670,10.1007/s11747-024-01003-2,A5058880895,A5058880895,Nailya Ordabayeva,nailya ordabayeva,0000-0001-6764-2495,last,FALSE,Dartmouth College,https://ror.org/049s0rh22,US,education,"Tuck School of Business, Dartmouth College, Hanover, NH, 03755, USA"
doi:10.1002/aepp.13275,W4225008403,10.1002/aepp.13275,A5005396402,A5005396402,Joshua Berning,joshua berning,0000-0001-5128-2528,first,TRUE,Resource (United States),https://ror.org/002sg8b56,US,company,Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA
doi:10.1002/aepp.13275,W4225008403,10.1002/aepp.13275,A5005396402,A5005396402,Joshua Berning,joshua berning,0000-0001-5128-2528,first,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA
doi:10.1002/aepp.13275,W4225008403,10.1002/aepp.13275,A5026815066,A5026815066,Rebecca Cleary,rebecca cleary,0000-0003-1515-9156,middle,TRUE,Resource (United States),https://ror.org/002sg8b56,US,company,Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA
doi:10.1002/aepp.13275,W4225008403,10.1002/aepp.13275,A5026815066,A5026815066,Rebecca Cleary,rebecca cleary,0000-0003-1515-9156,middle,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA
doi:10.1002/aepp.13275,W4225008403,10.1002/aepp.13275,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,last,TRUE,Resource (United States),https://ror.org/002sg8b56,US,company,Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA
doi:10.1002/aepp.13275,W4225008403,10.1002/aepp.13275,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,last,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA
doi:10.1016/j.forpol.2023.103115,W4388995879,10.1016/j.forpol.2023.103115,A5066276803,A5066276803,Erin J. Belval,erin j belval,0000-0001-5895-5393,first,TRUE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"Human Dimensions Science Program, Rocky Mountain Research Station, USDA Forest Service, Fort Collins, CO 80526, United States of America"
doi:10.1016/j.forpol.2023.103115,W4388995879,10.1016/j.forpol.2023.103115,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO 80523, United States of America"
doi:10.1016/j.forpol.2023.103115,W4388995879,10.1016/j.forpol.2023.103115,A5041734560,A5041734560,Shayne Magstadt,shayne magstadt,NA,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Forest and Rangeland Stewardship, Colorado State University, Fort Collins, CO 80523, United States of America"
doi:10.1108/bfj-09-2021-1000,W4220717619,10.1108/bfj-09-2021-1000,A5085703640,A5085703640,Francesco Bimbo,francesco bimbo,0000-0003-0070-2582,first,FALSE,University of Foggia,https://ror.org/01xtv3204,IT,education,"Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria, Universita degli Studi di Foggia, Foggia, Italy"
doi:10.1108/bfj-09-2021-1000,W4220717619,10.1108/bfj-09-2021-1000,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"College of Agricultural Sciences, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1108/bfj-09-2021-1000,W4220717619,10.1108/bfj-09-2021-1000,A5080089934,A5080089934,Rosaria Viscecchia,rosaria viscecchia,0000-0002-2977-3811,last,FALSE,University of Foggia,https://ror.org/01xtv3204,IT,education,"Dipartimento di Scienze Agrarie, Alimenti, Risorse Naturali e Ingegneria, Universita degli Studi di Foggia, Foggia, Italy"
doi:10.1038/s41598-022-12253-x,W4280497021,10.1038/s41598-022-12253-x,A5066276803,A5066276803,Erin J. Belval,erin j belval,0000-0001-5895-5393,first,FALSE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"USDA Forest Service, Rocky Mountain Research Station, Fort Collins, CO, 80526, USA. erin.belval@usda.gov; USDA Forest Service, Rocky Mountain Research Station, Fort Collins, CO, 80526, USA"
doi:10.1038/s41598-022-12253-x,W4280497021,10.1038/s41598-022-12253-x,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO, 80523, USA"
doi:10.1038/s41598-022-12253-x,W4280497021,10.1038/s41598-022-12253-x,A5067759848,A5067759848,Matthew P. Thompson,matthew p thompson,0000-0002-2322-7756,middle,FALSE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"USDA Forest Service, Rocky Mountain Research Station, Fort Collins, CO, 80526, USA"
doi:10.1038/s41598-022-12253-x,W4280497021,10.1038/s41598-022-12253-x,A5055146248,A5055146248,Jacob Dilliott,jacob dilliott,NA,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Forest and Rangeland Stewardship, Colorado State University, Fort Collins, CO, 80523, USA"
doi:10.1038/s41598-022-12253-x,W4280497021,10.1038/s41598-022-12253-x,A5080849002,A5080849002,Andrea G. Buchwald,andrea g buchwald,0000-0001-6503-6459,last,FALSE,Colorado School of Public Health,https://ror.org/005x9g035,US,education,"Colorado School of Public Health, University of Colorado, Aurora, CO, 80045, USA"
doi:10.1038/s41598-022-12253-x,W4280497021,10.1038/s41598-022-12253-x,A5080849002,A5080849002,Andrea G. Buchwald,andrea g buchwald,0000-0001-6503-6459,last,FALSE,University of Colorado Anschutz Medical Campus,https://ror.org/03wmf1y16,US,education,"Colorado School of Public Health, University of Colorado, Aurora, CO, 80045, USA"
doi:10.22004/ag.econ.311309,W3185528076,10.22004/ag.econ.311309,A5028349388,A5028349388,Christine Dimke,christine dimke,NA,first,FALSE,NA,NA,NA,NA,
doi:10.22004/ag.econ.311309,W3185528076,10.22004/ag.econ.311309,A5035315099,A5035315099,Marissa C. Lee,marissa c lee,NA,middle,FALSE,NA,NA,NA,NA,
doi:10.22004/ag.econ.311309,W3185528076,10.22004/ag.econ.311309,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,NA,NA,NA,NA,
doi:10.22004/ag.econ.311309,W3185528076,10.22004/ag.econ.311309,name:dimke christine,NA,"Dimke, Christine",dimke christine,NA,middle,FALSE,NA,NA,NA,NA,
doi:10.22004/ag.econ.311309,W3185528076,10.22004/ag.econ.311309,name:lee marissa c,NA,"Lee, Marissa C.",lee marissa c,NA,middle,FALSE,NA,NA,NA,NA,
doi:10.22004/ag.econ.311309,W3185528076,10.22004/ag.econ.311309,name:bayham jude,NA,"Bayham, Jude",bayham jude,NA,last,FALSE,NA,NA,NA,NA,
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5047954147,A5047954147,Gregg Gonsalves,gregg gonsalves,0000-0002-5789-9841,first,TRUE,Yale University,https://ror.org/03v76x132,US,education,"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT, USA; Public Health Modeling Unit, Yale School of Public Health, New Haven, CT, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5014970573,A5014970573,J. Tyler Copple,j tyler copple,NA,middle,FALSE,Yale University,https://ror.org/03v76x132,US,education,"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT, USA; Public Health Modeling Unit, Yale School of Public Health, New Haven, CT, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5062889731,A5062889731,A. David Paltiel,a david paltiel,0000-0002-4861-3290,middle,FALSE,NA,NA,NA,NA,"Department of Health Policy and Management, Yale School of Public Health, New Haven, CT, USA; Public Health Modeling Unit, Yale School of Public Health, New Haven, CT, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5052038898,A5052038898,Eli P. Fenichel,eli p fenichel,0000-0002-7649-8250,middle,FALSE,Yale University,https://ror.org/03v76x132,US,education,"Yale School of the Environment, New Haven, CT, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5052129734,A5052129734,M Abraham,m abraham,0000-0001-6363-2521,middle,FALSE,Biohaven Pharmaceuticals (United States),https://ror.org/00m2ky193,US,company,"DataHaven, New Haven, CT, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5067848940,A5067848940,David Kline,david kline,0000-0001-6183-3303,middle,FALSE,The Ohio State University,https://ror.org/00rs6vg23,US,education,"Center for Biostatistics, Department of Biomedical Informatics, The Ohio State University, Columbus, OH, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5103977774,A5103977774,Sam Malloy,sam malloy,NA,middle,FALSE,Battelle,https://ror.org/01h5tnr73,US,nonprofit,"Battelle Center for Science, Engineering, and Public Policy, John Glenn College of Public Affairs, The Ohio State University, Columbus, OH, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5103977774,A5103977774,Sam Malloy,sam malloy,NA,middle,FALSE,The Ohio State University,https://ror.org/00rs6vg23,US,education,"Battelle Center for Science, Engineering, and Public Policy, John Glenn College of Public Affairs, The Ohio State University, Columbus, OH, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5065651467,A5065651467,Michael F. Rayo,michael f rayo,0000-0003-0180-058X,middle,FALSE,The Ohio State University,https://ror.org/00rs6vg23,US,education,"Integrated Systems Engineering, The Ohio State University, Columbus, OH, USA"
doi:10.1177/0272989x211021603,W3168577360,10.1177/0272989x211021603,A5079215061,A5079215061,Net Zhang,net zhang,0000-0003-2664-451X,middle,FALSE,Battelle,https://ror.org/01h5tnr73,US,nonprofit,"Battelle Center for Science, Engineering, and Public Policy, John Glenn College of Public Affairs, The Ohio State University, Columbus, OH, USA"
