last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file,openalex_work_id,openalex_type,type_mapping_rule,type_requires_review,extension_output,added_from_openalex,added_from_coauthor,author_match_rule,discovery_date,edge_2026,doi_clean,publication_key,affiliated_at_publication,affiliation_status,journal_norm,impact_factor,if_year_used,if_match_rule,oa_id,doi_raw,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors,n_grad_coauthors,grad_coauthors,any_student_at_pub,student_cv,student_cv_conflict,year_canonical,year_conflict,year_disagrees,student_coauthor_final,student_evidence,in_reporting_window
Berning,Joshua,Ag and Food,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/aepp.70037,doi:10.1002/aepp.70037,1,Active CSU affiliation,applied economic perspectives policy,3.6,2025,Exact journal-year,W4416337945,https://doi.org/10.1002/aepp.70037,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,2025,2025-11-18,article,1,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4,1,Nathan Palardy,FALSE,Y,FALSE,2025,FALSE,FALSE,Y,CV only,TRUE
Costanigro,Marco,Ag and Food,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/aepp.70037,doi:10.1002/aepp.70037,1,Active CSU affiliation,applied economic perspectives policy,3.6,2025,Exact journal-year,W4416337945,https://doi.org/10.1002/aepp.70037,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,2025,2025-11-18,article,1,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4,1,Nathan Palardy,FALSE,Y,FALSE,2025,FALSE,FALSE,Y,CV only,TRUE
Countryman,Amanda,Ag and Food,2026,JA,a,Y,0,NA,Quantitative Comparison of Ad-Valorem Equivalents for Non-Tariff Trade Measures: WTO Versus TRAINS,Applied Economic Perspectives and Policy,10.1002/aepp.70039,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,10.1002/aepp.70039,doi:10.1002/aepp.70039,1,Active CSU affiliation,applied economic perspectives policy,3.6,2025,Nearest year (2025),W4416563969,https://doi.org/10.1002/aepp.70039,Quantitative Comparison of Ad‐Valorem Equivalents for Non‐Tariff Trade Measures: <scp>WTO</scp> Versus <scp>TRAINS</scp>,2025,2025-11-23,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4,NA,NA,NA,Y,FALSE,2026,FALSE,TRUE,Y,CV only,FALSE
Countryman,Amanda,Ag and Food,2026,JA,a,Y,0,NA,"Livestock Tango: US and Latin America Dance Together, but Who Will Lead?",Applied Economic Perspectives and Policy,10.1002/aepp.70047,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,10.1002/aepp.70047,doi:10.1002/aepp.70047,1,Active CSU affiliation,applied economic perspectives policy,3.6,2025,Nearest year (2025),W7116446301,https://doi.org/10.1002/aepp.70047,"Livestock Tango: U.S. and Latin America Dance Together, but Who Will Lead?",2025,2025-12-19,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,3,NA,NA,NA,Y,FALSE,2026,FALSE,TRUE,Y,CV only,FALSE
Bonanno,Alessandro,Ag and Food,2021,JA,a,N,0,NA,Competitive and Welfare Effects of Private Label Presence in Differentiated Food Markets,Applied Economics,10.1080/00036846.2020.1866160,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1080/00036846.2020.1866160,doi:10.1080/00036846.2020.1866160,1,Active CSU affiliation,applied economics,1.916,2021,Exact journal-year,W3132144767,https://doi.org/10.1080/00036846.2020.1866160,Competitive and welfare effects of private label presence in differentiated food markets,2021,2021-02-16,article,11,Applied Economics,0003-6846,Taylor & Francis,FALSE,FALSE,4,NA,NA,NA,N,FALSE,2021,FALSE,FALSE,N,Neither,TRUE
Thilmany,Dawn,Ag and Food,2023,JA,b,N,0,NA,Perspectives on Diversity Equity and Inclusion in the Agricultural and Applied Economics Profession,Applied Economics Teaching Resources,10.22004/ag.econ.333520,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.22004/ag.econ.333520,doi:10.22004/ag.econ.333520,1,Active CSU affiliation,applied economics teaching resources,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,FALSE,2023,FALSE,FALSE,N,Neither,TRUE
Thilmany,Dawn,Ag and Food,2022,JA,b,N,0,NA,Agritourism Extension in the United States,Applied Economics Teaching Resources,nodoi,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:agritourism extension in the united states|2022,1,Active CSU affiliation,applied economics teaching resources,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,FALSE,2022,FALSE,FALSE,N,Neither,TRUE
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Jablonski;Thilmany,Novel methods for an interesting time: US local food systems impacts and initiatives to respond to COVID,Australian Journal of Agricultural and Resource Economics,10.1111/1467-8489.12456,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/1467-8489.12456,doi:10.1111/1467-8489.12456,1,Active CSU affiliation,australian journal agricultural resource economics,3.2,2022,Nearest year (2022),W3210113799,https://doi.org/10.1111/1467-8489.12456,Novel methods for an interesting time: Exploring U.S. local food systems’ impacts and initiatives to respond to COVID*,2021,2021-10-01,article,20,Australian Journal of Agricultural and Resource Economics,1364-985X,Wiley,TRUE,FALSE,8,2,Hailey Edmondson; Mackenzie Gill,TRUE,Y,TRUE,2021,FALSE,FALSE,Y,CV and registrar,TRUE
Thilmany,Dawn,Ag and Food,2021,JA,a,Y,1,Jablonski;Thilmany,Novel methods for an interesting time: US local food systems impacts and initiatives to respond to COVID,Australian Journal of Agricultural and Resource Economics,10.1111/1467-8489.12456,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/1467-8489.12456,doi:10.1111/1467-8489.12456,1,Active CSU affiliation,australian journal agricultural resource economics,3.2,2022,Nearest year (2022),W3210113799,https://doi.org/10.1111/1467-8489.12456,Novel methods for an interesting time: Exploring U.S. local food systems’ impacts and initiatives to respond to COVID*,2021,2021-10-01,article,20,Australian Journal of Agricultural and Resource Economics,1364-985X,Wiley,TRUE,FALSE,8,2,Hailey Edmondson; Mackenzie Gill,TRUE,Y,TRUE,2021,FALSE,FALSE,Y,CV and registrar,TRUE
Hoag,Dana,ENRE,2025,JA,a,N,1,Hoag;Ritten,Transdisciplinary research priorities for a One Health approach to human-wildlife coexistence,BioScience,10.1093/biosci/biaf026,hoagdana.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1093/biosci/biaf026,doi:10.1093/biosci/biaf026,1,Active CSU affiliation,bioscience,9.5,2025,Exact journal-year,W4410577500,https://doi.org/10.1093/biosci/biaf026,Transdisciplinary research priorities for a One Health approach to human–wildlife coexistence,2025,2025-05-21,article,4,BioScience,0006-3568,Oxford University Press,TRUE,FALSE,23,NA,NA,NA,N,FALSE,2025,FALSE,FALSE,N,Neither,TRUE
Ritten,John,Ag and Food,2025,JA,a,N,1,Hoag;Ritten,Transdisciplinary research priorities for a One Health approach to human-wildlife coexistence,BioScience,10.1093/biosci/biaf026,rittenjohn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1093/biosci/biaf026,doi:10.1093/biosci/biaf026,1,Active CSU affiliation,bioscience,9.5,2025,Exact journal-year,W4410577500,https://doi.org/10.1093/biosci/biaf026,Transdisciplinary research priorities for a One Health approach to human–wildlife coexistence,2025,2025-05-21,article,4,BioScience,0006-3568,Oxford University Press,TRUE,FALSE,23,NA,NA,NA,N,FALSE,2025,FALSE,FALSE,N,Neither,TRUE
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,0,NA,Geographical Indications Prices and Marketing Margins,British Food Journal,10.1108/bfj-09-2021-1000,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/bfj-09-2021-1000,doi:10.1108/bfj-09-2021-1000,1,Active CSU affiliation,british food journal,3.3,2022,Nearest year (2022),W4220717619,https://doi.org/10.1108/bfj-09-2021-1000,"Geographical indications' prices and marketing margins: the role of group size, longevity and production decisions",2022,2022-03-23,article,5,British Food Journal,0007-070X,Emerald Publishing Limited,FALSE,FALSE,3,NA,NA,NA,N,FALSE,2023,FALSE,TRUE,N,Neither,TRUE
Suter,Jordan,ENRE,2021,JA,a,U,0,NA,Sociodemographic variations in indoor environmental quality and student performance,Building and Environment,10.1016/j.buildenv.2021.108390,suterjordan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.buildenv.2021.108390,doi:10.1016/j.buildenv.2021.108390,1,Active CSU affiliation,building environment,7.093,2021,Exact journal-year,W3203151447,https://doi.org/10.1016/j.buildenv.2021.108390,Sociodemographic variations in the association between indoor environmental quality in school buildings and student performance,2021,2021-09-22,article,18,Building and Environment,0360-1323,Elsevier BV,FALSE,FALSE,8,NA,NA,NA,U,FALSE,2021,FALSE,FALSE,U,Undetermined,TRUE
Delay,Nathan,Ag and Food,2026,JA,a,NA,0,NA,Merging rigor and relevance in grazingland research: a comprehensive social-ecological monitoring approach,Carbon Balance and Management,10.1186/s13021-026-00431-7,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,10.1186/s13021-026-00431-7,doi:10.1186/s13021-026-00431-7,1,Active CSU affiliation,carbon balance management,7,2025,Nearest year (2025),W7148776770,https://doi.org/10.1186/s13021-026-00431-7,Merging rigor and relevance in grazingland research: a comprehensive social-ecological monitoring approach,2026,2026-04-03,article,1,Carbon Balance and Management,1750-0680,Springer Science+Business Media,TRUE,FALSE,43,NA,NA,NA,U,FALSE,2026,FALSE,FALSE,U,Undetermined,FALSE
Delay,Nathan,Ag and Food,2022,JA,b,Y,0,NA,Opportunities and Challenges Associated with Carbon Farming for US Row-Crop Producers,Choices,10.22004/ag.econ.329528,delaynathan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.22004/ag.econ.329528,doi:10.22004/ag.econ.329528,1,Active CSU affiliation,choices,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,FALSE,2022,FALSE,FALSE,Y,CV only,TRUE
Countryman,Amanda,Ag and Food,2024,JA,b,Y,0,NA,U.S. Meat Export Potential in ASEAN,Choices,10.22004/ag.econ.344756,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.22004/ag.econ.344756,doi:10.22004/ag.econ.344756,1,Active CSU affiliation,choices,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,FALSE,2024,FALSE,FALSE,Y,CV only,TRUE
Countryman,Amanda,Ag and Food,2024,JA,b,Y,0,NA,U.S. Soy Exports Could Crush it in ASEAN,Choices,10.22004/ag.econ.344758,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.22004/ag.econ.344758,doi:10.22004/ag.econ.344758,1,Active CSU affiliation,choices,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,FALSE,2024,FALSE,FALSE,Y,CV only,TRUE
Mooney,Daniel,Ag and Food,2024,JA,b,N,0,NA,Agricultural Producer Decision Making around Water Conservation in the Upper Colorado River Basin,Choices,10.22004/ag.econ.348009,mooneydaniel.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.22004/ag.econ.348009,doi:10.22004/ag.econ.348009,1,Active CSU affiliation,choices,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,FALSE,2024,FALSE,FALSE,N,Neither,TRUE
Chenarides,Lauren,Ag and Food,2024,JA,b,N,0,NA,Grand Challenge: Safe Affordable Accessible and Acceptable Food,Choices,10.22004/ag.econ.348931,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.22004/ag.econ.348931,doi:10.22004/ag.econ.348931,1,Active CSU affiliation,choices,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,FALSE,2024,FALSE,FALSE,N,Neither,TRUE
Chenarides,Lauren,Ag and Food,2024,JA,b,Y,0,NA,Consumer Spending on Plant-Based Meat Alternatives,Choices,10.22004/ag.econ.352133,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.22004/ag.econ.352133,doi:10.22004/ag.econ.352133,1,Active CSU affiliation,choices,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,FALSE,2024,FALSE,FALSE,Y,CV only,TRUE
Chenarides,Lauren,Ag and Food,2024,JA,b,N,0,NA,An Outlook on Evidence-Based Policymaking,Choices,nodoi,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:an outlook on evidence based policymaking|2024,1,Active CSU affiliation,choices,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,FALSE,2024,FALSE,FALSE,N,Neither,TRUE
Kroll,Stephan,ENRE,2021,JA,a,N,0,NA,Does Solar Geoengineering Crowd Out Climate Change Mitigation Efforts,Climatic Change,10.1007/s10584-021-03009-z,krollstephan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1007/s10584-021-03009-z,doi:10.1007/s10584-021-03009-z,1,Active CSU affiliation,climatic change,5.174,2021,Exact journal-year,W3134417504,https://doi.org/10.1007/s10584-021-03009-z,Does solar geoengineering crowd out climate change mitigation efforts? Evidence from a stated preference referendum on a carbon tax,2021,2021-03-01,article,30,Climatic Change,0165-0009,Springer Science+Business Media,TRUE,FALSE,4,NA,NA,NA,N,FALSE,2021,FALSE,FALSE,N,Neither,TRUE
Goemans,Chris,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1007/s10584-022-03441-9,doi:10.1007/s10584-022-03441-9,1,Active CSU affiliation,climatic change,5.174,2021,Exact journal-year,W4298000409,https://doi.org/10.1007/s10584-022-03441-9,"Correction to: Changing climate, changing minds? The effects of natural disasters on public perceptions of climate change",2022,2022-09-01,erratum,2,Climatic Change,0165-0009,Springer Science+Business Media,TRUE,FALSE,5,NA,NA,NA,N,TRUE,2021,FALSE,TRUE,N,Neither,TRUE
Manning,Dale,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,manningdale.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1007/s10584-022-03441-9,doi:10.1007/s10584-022-03441-9,1,Active CSU affiliation,climatic change,5.174,2021,Exact journal-year,W4298000409,https://doi.org/10.1007/s10584-022-03441-9,"Correction to: Changing climate, changing minds? The effects of natural disasters on public perceptions of climate change",2022,2022-09-01,erratum,2,Climatic Change,0165-0009,Springer Science+Business Media,TRUE,FALSE,5,NA,NA,NA,N,TRUE,2021,FALSE,TRUE,N,Neither,TRUE
Suter,Jordan,ENRE,2021,JA,a,U,1,Goemans;Manning;Suter,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,suterjordan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1007/s10584-022-03441-9,doi:10.1007/s10584-022-03441-9,1,Active CSU affiliation,climatic change,5.174,2021,Exact journal-year,W4298000409,https://doi.org/10.1007/s10584-022-03441-9,"Correction to: Changing climate, changing minds? The effects of natural disasters on public perceptions of climate change",2022,2022-09-01,erratum,2,Climatic Change,0165-0009,Springer Science+Business Media,TRUE,FALSE,5,NA,NA,NA,N,TRUE,2021,FALSE,TRUE,N,Neither,TRUE
Kroll,Stephan,ENRE,2023,JA,a,N,0,NA,Climate Cooperation with Risky Solar Geoengineering,Climatic Change,10.1007/s10584-023-03612-2,krollstephan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1007/s10584-023-03612-2,doi:10.1007/s10584-023-03612-2,1,Active CSU affiliation,climatic change,4.8,2022,Nearest year (2022),W4387253917,https://doi.org/10.1007/s10584-023-03612-2,Climate cooperation with risky solar geoengineering,2023,2023-10-01,article,6,Climatic Change,0165-0009,Springer Science+Business Media,FALSE,FALSE,3,NA,NA,NA,N,FALSE,2023,FALSE,FALSE,N,Neither,TRUE
Hoag,Dana,ENRE,2026,JA,a,N,0,NA,Toward Coexistence: A Psychometric Framework for Large Carnivore Conservation.,Conservation Biology,10.1111/cobi.70326,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,10.1111/cobi.70326,doi:10.1111/cobi.70326,1,Active CSU affiliation,conservation biology,5.2,2025,Nearest year (2025),W7161155482,https://doi.org/10.1111/cobi.70326,Psychometric framework for coexistence with large carnivores,2026,2026-05-14,article,1,Conservation Biology,0888-8892,Wiley,TRUE,FALSE,15,NA,NA,NA,N,FALSE,2026,FALSE,FALSE,N,Neither,FALSE
Seidl,Andrew,ENRE,2023,JA,a,N,0,NA,Essential planetary health workers: Positioning rangers within global policy,Conservation Letters,10.1111/conl.12955,seidlandrew.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/conl.12955,doi:10.1111/conl.12955,1,Active CSU affiliation,conservation letters,8.5,2022,Nearest year (2022),W4384342652,https://doi.org/10.1111/conl.12955,Essential planetary health workers: Positioning rangers within global policy,2023,2023-07-01,article,22,Conservation Letters,1755-263X,Wiley,TRUE,FALSE,15,NA,NA,NA,N,FALSE,2023,FALSE,FALSE,N,Neither,TRUE
Hoag,Dana,ENRE,2022,JA,a,N,0,NA,Rapid changes in public perception toward wolves,Conservation Science,10.1111/csp2.12632,hoagdana.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/csp2.12632,doi:10.1111/csp2.12632,1,Active CSU affiliation,conservation science,NA,NA,No IF match,W4211022438,https://doi.org/10.1111/csp2.12632,Rapid changes in public perception toward a conservation initiative,2022,2022-02-10,article,43,Conservation Science and Practice,2578-4854,Society for Conservation Biology,TRUE,FALSE,11,NA,NA,NA,N,FALSE,2022,FALSE,FALSE,N,Neither,TRUE
Seidl,Andrew,ENRE,2024,JA,a,N,0,NA,Cost-benefit analysis as a decision tool for conservation planning: Nyerere-Selous-Udzungwa Corridor,Conservation Science and Practice,10.1111/csp2.13273,seidlandrew.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/csp2.13273,doi:10.1111/csp2.13273,1,Active CSU affiliation,conservation science practice,2.8,2024,Exact journal-year,W4404445485,https://doi.org/10.1111/csp2.13273,Cost–benefit analysis as a decision tool for effective conservation planning—The case of the Nyerere Selous‐Udzungwa wildlife corridor in Tanzania,2024,2024-11-15,article,2,Conservation Science and Practice,2578-4854,Society for Conservation Biology,TRUE,FALSE,9,NA,NA,NA,N,FALSE,2024,FALSE,FALSE,N,Neither,TRUE
Burkhardt,Jesse,ENRE,2022,JA,a,N,1,Burkhardt;Manning,The Local Effects of Federal Law Enforcement Policies: Sanctuary Jurisdictions and Crime,Contemporary Economic Policy,10.1111/coep.12564,burkhardtjesse.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/coep.12564,doi:10.1111/coep.12564,1,Active CSU affiliation,contemporary economic policy,1.212,2021,Nearest year (2021),W4211021726,https://doi.org/10.1111/coep.12564,The local effects of federal law enforcement policies: Evidence from sanctuary jurisdictions and crime,2022,2022-02-08,article,5,Contemporary Economic Policy,1074-3529,Wiley,FALSE,FALSE,2,NA,NA,NA,N,FALSE,2022,FALSE,FALSE,N,Neither,TRUE
Manning,Dale,ENRE,2022,JA,a,N,1,Burkhardt;Manning,The Local Effects of Federal Law Enforcement Policies: Sanctuary Jurisdictions and Crime,Contemporary Economic Policy,10.1111/coep.12564,manningdale.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/coep.12564,doi:10.1111/coep.12564,1,Active CSU affiliation,contemporary economic policy,1.212,2021,Nearest year (2021),W4211021726,https://doi.org/10.1111/coep.12564,The local effects of federal law enforcement policies: Evidence from sanctuary jurisdictions and crime,2022,2022-02-08,article,5,Contemporary Economic Policy,1074-3529,Wiley,FALSE,FALSE,2,NA,NA,NA,N,FALSE,2022,FALSE,FALSE,N,Neither,TRUE
Ritten,John,Ag and Food,2025,JA,a,Y,0,NA,Alfalfa Harvest Timing Impacts on Alfalfa Weevil with Agronomic and Economic Contexts,Crop Production,10.1016/j.cropro.2025.107134,rittenjohn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.cropro.2025.107134,doi:10.1016/j.cropro.2025.107134,1,Active CSU affiliation,crop production,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,FALSE,2025,FALSE,FALSE,Y,CV only,TRUE
Bonanno,Alessandro,Ag and Food,2023,JA,a,U,1,Bonanno;Cleary;Jablonski,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,clearyrebecca.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.cdnut.2023.100292,doi:10.1016/j.cdnut.2023.100292,1,Active CSU affiliation,current developments in nutrition,3.2,2024,Nearest year (2024),W4385306485,https://doi.org/10.1016/j.cdnut.2023.100292,OR23-07-23 The Influence of Food Assistance Program Participation on the Quality of the Home Food Environment Is Modified by Household Food Security Levels,2023,2023-07-01,article,0,Current Developments in Nutrition,2475-2991,Elsevier BV,TRUE,FALSE,6,1,Erin Love,FALSE,Y,TRUE,2023,FALSE,FALSE,Y,CV only,TRUE
Cleary,Rebecca,Ag and Food,2023,JA,a,Y,1,Bonanno;Cleary;Jablonski,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,clearyrebecca.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.cdnut.2023.100292,doi:10.1016/j.cdnut.2023.100292,1,Active CSU affiliation,current developments in nutrition,3.2,2024,Nearest year (2024),W4385306485,https://doi.org/10.1016/j.cdnut.2023.100292,OR23-07-23 The Influence of Food Assistance Program Participation on the Quality of the Home Food Environment Is Modified by Household Food Security Levels,2023,2023-07-01,article,0,Current Developments in Nutrition,2475-2991,Elsevier BV,TRUE,FALSE,6,1,Erin Love,FALSE,Y,TRUE,2023,FALSE,FALSE,Y,CV only,TRUE
Jablonski,Becca,Ag and Food,2023,JA,a,U,1,Bonanno;Cleary;Jablonski,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,clearyrebecca.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.cdnut.2023.100292,doi:10.1016/j.cdnut.2023.100292,1,Active CSU affiliation,current developments in nutrition,3.2,2024,Nearest year (2024),W4385306485,https://doi.org/10.1016/j.cdnut.2023.100292,OR23-07-23 The Influence of Food Assistance Program Participation on the Quality of the Home Food Environment Is Modified by Household Food Security Levels,2023,2023-07-01,article,0,Current Developments in Nutrition,2475-2991,Elsevier BV,TRUE,FALSE,6,1,Erin Love,FALSE,Y,TRUE,2023,FALSE,FALSE,Y,CV only,TRUE
Jablonski,Becca,Ag and Food,2024,JA,a,U,1,Jablonski;Thilmany,Building Representative State Groupings in an Input-Output Model for Nutrition Incentive Programs,Economic Development Quarterly,10.1177/08912424241282425,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1177/08912424241282425,doi:10.1177/08912424241282425,1,Active CSU affiliation,economic development quarterly,1.6,2024,Exact journal-year,W4403258135,https://doi.org/10.1177/08912424241282425,Building Representative State Groupings in an Input-Output Model for the Development of an Economic Impact Calculator for Nutrition Incentive Programs,2024,2024-10-09,article,1,Economic Development Quarterly,0891-2424,SAGE Publishing,TRUE,FALSE,7,NA,NA,NA,N,TRUE,2024,FALSE,FALSE,N,Neither,TRUE
Thilmany,Dawn,Ag and Food,2024,JA,a,N,1,Jablonski;Thilmany,Building Representative State Groupings in an Input-Output Model for Nutrition Incentive Programs,Economic Development Quarterly,10.1177/08912424241282425,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1177/08912424241282425,doi:10.1177/08912424241282425,1,Active CSU affiliation,economic development quarterly,1.6,2024,Exact journal-year,W4403258135,https://doi.org/10.1177/08912424241282425,Building Representative State Groupings in an Input-Output Model for the Development of an Economic Impact Calculator for Nutrition Incentive Programs,2024,2024-10-09,article,1,Economic Development Quarterly,0891-2424,SAGE Publishing,TRUE,FALSE,7,NA,NA,NA,N,TRUE,2024,FALSE,FALSE,N,Neither,TRUE
Mooney,Daniel,Ag and Food,2025,JA,a,N,0,NA,Synergies and trade-offs between ecosystem services and economics in dryland cover crop systems,Ecosphere,10.1002/ecs2.70397,mooneydaniel.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/ecs2.70397,doi:10.1002/ecs2.70397,1,Active CSU affiliation,ecosphere,3,2025,Exact journal-year,W4414175545,https://doi.org/10.1002/ecs2.70397,Synergies and trade‐offs between ecosystem services and economics in dryland cover crop systems,2025,2025-09-01,article,2,Ecosphere,2150-8925,Wiley,TRUE,FALSE,9,NA,NA,NA,N,FALSE,2025,FALSE,FALSE,N,Neither,TRUE
Seidl,Andrew,ENRE,2021,JA,a,N,0,NA,Finance for Nature: Bridging the blue-green investment gap,Ecosystem Services,10.1016/j.ecoser.2021.101351,seidlandrew.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.ecoser.2021.101351,doi:10.1016/j.ecoser.2021.101351,1,Active CSU affiliation,ecosystem services,6.91,2021,Exact journal-year,W3193367627,https://doi.org/10.1016/j.ecoser.2021.101351,Finance for nature: Bridging the blue-green investment gap to inform the post-2020 global biodiversity framework,2021,2021-08-14,article,6,Ecosystem Services,2212-0416,Elsevier BV,FALSE,FALSE,2,NA,NA,NA,N,FALSE,2021,FALSE,FALSE,N,Neither,TRUE
Seidl,Andrew,ENRE,2024,JA,a,N,0,NA,Investing in the wealth of nature through biodiversity and ecosystem services finance solutions,Ecosystem Services,10.1016/j.ecoser.2024.101601,seidlandrew.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.ecoser.2024.101601,doi:10.1016/j.ecoser.2024.101601,1,Active CSU affiliation,ecosystem services,6.6,2024,Exact journal-year,W4391517522,https://doi.org/10.1016/j.ecoser.2024.101601,Investing in the wealth of nature through biodiversity and ecosystem service finance solutions,2024,2024-02-03,article,54,Ecosystem Services,2212-0416,Elsevier BV,FALSE,FALSE,5,NA,NA,NA,N,FALSE,2024,FALSE,FALSE,N,Neither,TRUE
