publication_key,year,type,index_class,title_short,venue,doi,cited_by_count,impact_factor,n_dare_authors,faculty_names,faculty_last_names,research_areas,cross_area_publication,internal_collaboration,student_coauthored,added_from_coauthor_any,journal_article_countable,verified_peer_reviewed,in_reporting_window,edge_2026
doi:10.1016/j.rala.2021.02.002,2022,JA,b,Social learning lessons from Collaborative Adaptive Rangeland Management,Rangelands,10.1016/j.rala.2021.02.002,28,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rala.2022.04.002,2022,JA,b,Stocking rate and marketing dates for yearling steers grazing rangelands,Rangelands,10.1016/j.rala.2022.04.002,11,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s00181-021-02123-2,2022,JA,a,Strategic Supermarket Pricing of Private Labels and Manufacturer Brands,Empirical Economics,10.1007/s00181-021-02123-2,5,2.647,1,Rebecca Cleary,Cleary,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1371/journal.pone.0261833,2022,JA,a,Summer Crowds: USFS Campground Reservations During the COVID-19 Pandemic,PLOS ONE,10.1371/journal.pone.0261833,10,3.7,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1146/annurev-resource-111920-014804,2022,JA,a,The Economics of Wildfire in the United States,Annual Review of Resource Economics,10.1146/annurev-resource-111920-014804,79,5.8,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13223,2022,JA,a,The Impact of Crop Insurance on Farm Financial Outcomes,Applied Economic Perspectives and Policy,10.1002/aepp.13223,2,5.8,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/coep.12564,2022,JA,a,The Local Effects of Federal Law Enforcement Policies: Sanctuary Jurisdictions and Crime,Contemporary Economic Policy,10.1111/coep.12564,5,1.212,2,Dale Manning; Jesse Burkhardt,Burkhardt; Manning,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1029/2022gh000648,2022,JA,a,The Unintended Benefits of the Conservation Reserve Program for Air Quality,GeoHealth,10.1029/2022gh000648,9,4.8,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1108/afr-05-2021-0056,2022,JA,a,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/afr-05-2021-0056,22,1.9,2,Becca Jablonski; Dawn Thilmany,Jablonski; Thilmany,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1108/afr-05-2021-0070,2022,JA,a,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/afr-05-2021-0070,12,1.9,2,Becca Jablonski; Dawn Thilmany,Jablonski; Thilmany,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3386/w30080,2022,RP,NA,Producer Beliefs and Conservation: The Impact of Perceived Water Scarcity on Irrigation Technology Adoption,National Bureau of Economic Research,10.3386/w30080,0,NA,2,Chris Goemans; Dale Manning,Goemans; Manning,ENRE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0
titleyear:the future of food and agricultural trade with china|2022,2022,RP,NA,The Future of Food and Agricultural Trade with China,Farm Foundation Issue Report,NA,NA,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
titleyear:ukraine conflict disrupts agricultural production and intern|2022,2022,RP,NA,Ukraine Conflict Disrupts Agricultural Production and International Trade,Virginia Tech Global Agricultural Productivity Report,NA,NA,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1016/j.forpol.2023.103071,2023,JA,a,A Spatial Dependent Approach to Assessing Impacts of Sustainable Forestry Initiative Certification,Forest Policy and Economics,10.1016/j.forpol.2023.103071,0,4,1,Nicholas Magnan,Magnan,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1017/inp.2023.8,2023,JA,a,A ranching economic analysis of ventenata control in northeast Wyoming,Invasive Plant Science and Management,10.1017/inp.2023.8,4,1.1,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.scitotenv.2023.161964,2023,JA,a,Assessment of vulnerability to water shortage in semi-arid river basins,Science of the Total Environment,10.1016/j.scitotenv.2023.161964,34,9.8,2,Chris Goemans; Dale Manning,Goemans; Manning,ENRE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1080/00343404.2023.2166914,2023,JA,a,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,14,4.2,4,Dawn Thilmany; Joshua Berning; Jude Bayham; Marco Costanigro,Bayham; Berning; Costanigro; Thilmany,Ag and Food; ENRE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1108/afr-05-2023-0054,2023,JA,a,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/afr-05-2023-0054,1,1.9,2,Alessandro Bonanno; Becca Jablonski,Bonanno; Jablonski,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jort.2023.100690,2023,JA,a,Camping in Clearcuts: Impacts of Timber Harvesting on USFS Campground Utilization,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100690,5,4.9,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1080/09644016.2022.2066285,2023,JA,a,Climate Cooperation in the Shadow of Solar Geoengineering: Moral Hazard Conjecture,Environmental Politics,10.1080/09644016.2022.2066285,50,5.9,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s10584-023-03612-2,2023,JA,a,Climate Cooperation with Risky Solar Geoengineering,Climatic Change,10.1007/s10584-023-03612-2,6,4.8,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.320671,2023,JA,a,Comparative Profitability of Irrigated Cropping Activities for Temporary Water Transfers,Journal of Agricultural and Resource Economics,10.22004/ag.econ.320671,NA,1.4,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13383,2023,JA,a,Coping with COVID-19 Shocks in Rural Nepal,Applied Economic Perspectives and Policy,10.1002/aepp.13383,4,5.8,1,Nicholas Magnan,Magnan,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.ocecoaman.2023.106726,2023,JA,b,Crowdfunding marine and coastal parks and protected areas,Ocean & Coastal Management,10.1016/j.ocecoaman.2023.106726,10,NA,1,Andrew Seidl,Seidl,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3390/agriculture13040831,2023,JA,b,Developing a Crop Water Production Function for Alfalfa Under Deficit Irrigation,Agriculture,10.3390/agriculture13040831,8,NA,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/ajae.12404,2023,JA,a,Dynamic Model of Entry: Dollar Stores,American Journal of Agricultural Economics,10.1111/ajae.12404,16,4.2,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/conl.12955,2023,JA,a,Essential planetary health workers: Positioning rangers within global policy,Conservation Letters,10.1111/conl.12955,22,8.5,1,Andrew Seidl,Seidl,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1108/afr-02-2023-0027,2023,JA,a,Estimating US Farmers Speed of Climate Change Adaptation: Subsurface Tile Drainage,Agricultural Finance Review,10.1108/afr-02-2023-0027,1,1.9,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/jaa2.93,2023,JA,a,Estimating the Ex-Ante Adoption Determinants of Novel Cropping Systems with Nonpecuniary Benefits,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.93,0,1.8,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1287/mnsc.2020.02074,2023,JA,a,Field experimental evidence on the effect of pricing on residential electricity conservation,Management Science,10.1287/mnsc.2020.02074,29,5.4,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s12571-022-01322-8,2023,JA,a,Food Insecurity Among Immigrant Populations in the United States,Food Security,10.1007/s12571-022-01322-8,11,6.7,2,Joshua Berning; Rebecca Cleary,Berning; Cleary,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13275,2023,JA,a,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,8,5.8,3,Alessandro Bonanno; Joshua Berning; Rebecca Cleary,Berning; Bonanno; Cleary,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.wre.2023.100214,2023,JA,a,Further evidence on social comparison and residential water use,Water Resources and Economics,10.1016/j.wre.2023.100214,NA,2.2,3,Chris Goemans; Dale Manning; Jesse Burkhardt,Burkhardt; Goemans; Manning,ENRE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1108/bfj-09-2021-1000,2023,JA,a,Geographical Indications Prices and Marketing Margins,British Food Journal,10.1108/bfj-09-2021-1000,5,3.3,1,Alessandro Bonanno,Bonanno,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.320675,2023,JA,a,I say Milk you say Mylk: Demand separability and substitution in a broadened milk category,Journal of Agricultural and Resource Economics,10.22004/ag.econ.320675,NA,1.4,1,Alessandro Bonanno,Bonanno,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.56103/nactaj.v67i1.94,2023,JA,b,Impacts of the COVID-19 Pandemic on Student Performance and Perceptions of Learning,NACTA Journal,10.56103/nactaj.v67i1.94,2,NA,1,Kellie Enns,Enns,Ag Ed,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jeem.2023.102820,2023,JA,a,Linking carbon markets with different initial conditions,Journal of Environmental Economics and Management,10.1016/j.jeem.2023.102820,9,5.9,1,Matt Woerman,Woerman,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.333520,2023,JA,b,Perspectives on Diversity Equity and Inclusion in the Agricultural and Applied Economics Profession,Applied Economics Teaching Resources,10.22004/ag.econ.333520,NA,NA,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/jaa2.73,2023,JA,a,Potential economic impacts of foot-and-mouth disease in Brazil,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.73,10,1.8,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.339678,2023,JA,b,Price Transmission and Asymmetry in the Colorado Potato Supply Chain,Journal of Food Distribution Research,10.22004/ag.econ.339678,NA,NA,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1017/s1742170523000145,2023,JA,a,Producers Marketing a Novel Crop: A Field-Level View of Hemp Market Channels,Renewable Agriculture and Food Systems,10.1017/s1742170523000145,5,2.7,3,Becca Jablonski; Daniel Mooney; Dawn Thilmany,Jablonski; Mooney; Thilmany,Ag and Food,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jenvman.2022.116420,2023,JA,a,Ranch-Level Economic Benefits of Working Lands Greater Sage-Grouse Conservation Programs,Journal of Environmental Management,10.1016/j.jenvman.2022.116420,11,8.7,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.322851,2023,JA,a,Reductions in National Forest Campground Reservation Demand from Wildfire,Journal of Agricultural and Resource Economics,10.22004/ag.econ.322851,NA,1.4,2,Jordan Suter; Jude Bayham,Bayham; Suter,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s11151-023-09926-w,2023,JA,a,Retail Markups and Discount-Store Entry,Review of Industrial Organization,10.1007/s11151-023-09926-w,6,1.313,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/jaa2.78,2023,JA,a,"Seasons, Stress, Salience, and Support for Cooperative Groundwater Management",Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.78,2,1.8,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jclepro.2023.139224,2023,JA,a,Sustainability of lettuce production: local and centralized food production,Journal of Cleaner Production,10.1016/j.jclepro.2023.139224,22,11.1,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13340,2023,JA,a,The Economics of Property Rights in Digital Farming Data,Applied Economic Perspectives and Policy,10.1002/aepp.13340,10,5.8,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.339590,2023,JA,b,The Economics of Wildland Firefighting Aviation Procurement and Effectiveness,Western Economics Forum,10.22004/ag.econ.339590,NA,NA,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.cdnut.2023.100292,2023,JA,a,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,0,3.2,3,Alessandro Bonanno; Becca Jablonski; Rebecca Cleary,Bonanno; Cleary; Jablonski,Ag and Food,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/qopen/qoad027,2023,JA,a,Type and Frequency of Wild Pig-Domestic Livestock Contacts and Operator Concern,Q Open,10.1093/qopen/qoad027,5,2.3,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/jofore/fvac042,2023,JA,a,Wildfire Response: A System on the Brink,Journal of Forestry,10.1093/jofore/fvac042,20,2.3,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.gecco.2023.e02576,2023,JA,a,Willingness to pay for reintroducing wolves in a divided voting base,Global Ecology and Conservation,10.1016/j.gecco.2023.e02576,6,4,2,Dana Hoag; Jesse Burkhardt,Burkhardt; Hoag,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
titleyear:is us soil conservation policy a sustainable development|2024,2024,BC,NA,Is US soil conservation policy a sustainable development?,CRC Press,NA,NA,NA,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.7208/chicago/9780226830629-007,2024,BC,NA,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,10.7208/chicago/9780226830629-007,NA,NA,2,Chris Goemans; Dale Manning,Goemans; Manning,ENRE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1201/9781003574040-12,2024,BC,NA,Reducing wind erosion damages and the Conservation Reserve Program,CRC Press,10.1201/9781003574040-12,0,NA,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1016/j.foodpol.2024.102727,2024,JA,a,A comment on USDA Food Business Centers: Collaborations to nurture innovation,Food Policy,10.1016/j.foodpol.2024.102727,2,6,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1371/journal.pwat.0000278,2024,JA,a,A review of residential water conservation policies,PLOS Water,10.1371/journal.pwat.0000278,11,2.8,1,Chris Goemans,Goemans,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.348009,2024,JA,b,Agricultural Producer Decision Making around Water Conservation in the Upper Colorado River Basin,Choices,10.22004/ag.econ.348009,NA,NA,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/ajae.12439,2024,JA,a,Air pollution weather and agricultural worker productivity,American Journal of Agricultural Economics,10.1111/ajae.12439,17,3.3,2,Jesse Burkhardt; Jude Bayham,Bayham; Burkhardt,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
titleyear:an outlook on evidence based policymaking|2024,2024,JA,b,An Outlook on Evidence-Based Policymaking,Choices,NA,NA,NA,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/tas/txae108,2024,JA,a,An analysis of preslaughter management factors on welfare and meat quality outcomes,Translational Animal Science,10.1093/tas/txae108,5,1.8,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3390/tourhosp5030032,2024,JA,b,Assessing Economic Impacts of Mile High 420 Festival in Colorado,Tourism and Hospitality,10.3390/tourhosp5030032,0,NA,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2024.06.004,2024,JA,a,Beef Cattle Producer Perspectives on Virtual Fencing,Rangeland Ecology & Management,10.1016/j.rama.2024.06.004,17,2.4,2,Dana Hoag; Daniel Mooney,Hoag; Mooney,Ag and Food; ENRE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/tas/txad150,2024,JA,a,Benchmarking Current Pre-Slaughter Management Factors Welfare Indicators and Meat Quality,Translational Animal Science,10.1093/tas/txad150,6,1.8,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3390/foods13193124,2024,JA,a,Bilateral trade welfare impacts of India’s export ban of non-basmati rice using the Global Partial Equilibrium Simulation Model (GSIM),Foods,10.3390/foods13193124,6,5.1,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1177/08912424241282425,2024,JA,a,Building Representative State Groupings in an Input-Output Model for Nutrition Incentive Programs,Economic Development Quarterly,10.1177/08912424241282425,1,1.6,2,Becca Jablonski; Dawn Thilmany,Jablonski; Thilmany,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1080/19439342.2024.2319657,2024,JA,a,Challenges to Groundnut Value Chain Development: Lessons from an Attempted Experiment in Ghana,Journal of Development Effectiveness,10.1080/19439342.2024.2319657,2,0.5,1,Nicholas Magnan,Magnan,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.352133,2024,JA,b,Consumer Spending on Plant-Based Meat Alternatives,Choices,10.22004/ag.econ.352133,NA,NA,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.meatsci.2024.109597,2024,JA,a,Consumer willingness to pay for beef based on color and price discounts,Meat Science,10.1016/j.meatsci.2024.109597,24,6.1,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/csp2.13273,2024,JA,a,Cost-benefit analysis as a decision tool for conservation planning: Nyerere-Selous-Udzungwa Corridor,Conservation Science and Practice,10.1111/csp2.13273,2,2.8,1,Andrew Seidl,Seidl,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1162/99608f92.24c26aa9,2024,JA,a,Creating Engagements: Bringing the user into Data Democratization,Harvard Data Science Review,10.1162/99608f92.24c26aa9,3,2.5,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s11747-024-01003-2,2024,JA,a,Delivering affordable clean energy to consumers,Journal of the Academy of Marketing Science,10.1007/s11747-024-01003-2,10,10.1,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1108/jm2-02-2024-0042,2024,JA,a,Determining the Optimal Food Hub Location in the Fresh Produce Supply Chain,Journal of Modelling in Management,10.1108/jm2-02-2024-0042,2,2.2,1,Rebecca Cleary,Cleary,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13332,2024,JA,a,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,12,3.4,3,Alessandro Bonanno; Joshua Berning; Rebecca Cleary,Berning; Bonanno; Cleary,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1371/journal.pone.0310268,2024,JA,a,Economic effects of livestock disease burden in Ethiopia: a CGE analysis,PLOS ONE,10.1371/journal.pone.0310268,14,2.6,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.342181,2024,JA,a,Economy-Wide Effects of Bovine Spongiform Encephalopathy in Brazil,Journal of Agricultural and Resource Economics,10.22004/ag.econ.342181,NA,1.4,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/jaa2.95,2024,JA,a,Farm to School Programming Spillovers and Households Fruits and Vegetables Purchases,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.95,1,1.8,1,Alessandro Bonanno,Bonanno,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3368/le.100.4.060823-0052r,2024,JA,a,Fat Tails and WTP: Kristrom revisited,Land Economics,10.3368/le.100.4.060823-0052r,3,1.6,1,Lynne Lewis,Lewis,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
titleyear:feasibility of integrating cover crops into irrigated barley|2024,2024,JA,b,Feasibility of Integrating Cover Crops into Irrigated Barley,Journal of the American Society of Farm Managers and Rural Appraisers,NA,NA,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/jaa2.131,2024,JA,a,Federal Economic Data on Local and Regional Food Producers,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.131,0,1.8,3,Becca Jablonski; Dawn Thilmany; Lauren Chenarides,Chenarides; Jablonski; Thilmany,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2024.01.007,2024,JA,a,Flexible Stocking: Livestock Production and Economic Responses in Mixed-Grass Prairie,Rangeland Ecology & Management,10.1016/j.rama.2024.01.007,2,2.4,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13468,2024,JA,a,Global Economic Effects of War-Induced Agricultural Export Declines from Ukraine,Applied Economic Perspectives and Policy,10.1002/aepp.13468,24,3.4,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.348931,2024,JA,b,Grand Challenge: Safe Affordable Accessible and Acceptable Food,Choices,10.22004/ag.econ.348931,NA,NA,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.342182,2024,JA,a,Health News Environment and the Distribution of Diet Quality,Journal of Agricultural and Resource Economics,10.22004/ag.econ.342182,NA,1.4,1,Rebecca Cleary,Cleary,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1029/2024wr037196,2024,JA,a,Integrated water management under different water rights institutions,Water Resources Research,10.1029/2024wr037196,2,5,2,Chris Goemans; Dale Manning,Goemans; Manning,ENRE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1086/729841,2024,JA,a,Intermittency or uncertainty? Impacts of renewable energy in electricity markets,Journal of the Association of Environmental and Resource Economists,10.1086/729841,10,3.2,1,Matt Woerman,Woerman,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1086/728140,2024,JA,a,International Climate Agreements under the Threat of Solar Geoengineering,Journal of the Association of Environmental and Resource Economists,10.1086/728140,9,3.2,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.ecoser.2024.101601,2024,JA,a,Investing in the wealth of nature through biodiversity and ecosystem services finance solutions,Ecosystem Services,10.1016/j.ecoser.2024.101601,54,6.6,1,Andrew Seidl,Seidl,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.foodpol.2024.102672,2024,JA,a,Measuring changes in pork demand and welfare effects of African swine fever,Food Policy,10.1016/j.foodpol.2024.102672,11,6,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13454,2024,JA,a,Measuring the Economic Contribution of Agricultural and Applied Economics Departments,Applied Economic Perspectives and Policy,10.1002/aepp.13454,0,3.4,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1088/2515-7620/ad82b5,2024,JA,a,Net Zero Initiative in US Beef and Dairy Systems,Environmental Research Communications,10.1088/2515-7620/ad82b5,4,2.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/tas/txae035,2024,JA,a,Pre-Slaughter Factors Affecting Mobility Blood Parameters Bruising and Muscle pH,Translational Animal Science,10.1093/tas/txae035,12,1.8,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.forpol.2023.103115,2024,JA,a,Retention of Highly Qualified Wildland Firefighters in the Western US,Forest Policy and Economics,10.1016/j.forpol.2023.103115,8,3.8,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
