last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file
Bonanno,Alessandro,Ag and Food,2021,JA,a,N,0,,Too Cool for Farm to School? Determinants of Farm to School Programming Continuation,Food Policy,10.1016/j.foodpol.2021.102045,bonannoalessandrocv.txt
Bonanno,Alessandro,Ag and Food,2021,JA,a,N,1,Bonanno;Jablonski,Measuring stocks of community wealth and its association with food systems efforts,Food Policy,10.1016/j.foodpol.2021.102119,bonannoalessandrocv.txt
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Bonanno;Jablonski,Measuring stocks of community wealth and its association with food systems efforts,Food Policy,10.1016/j.foodpol.2021.102119,bonannoalessandrocv.txt
Suter,Jordan,ENRE,2024,JA,a,U,0,,Measuring changes in pork demand and welfare effects of African swine fever,Food Policy,10.1016/j.foodpol.2024.102672,suterjordan.txt
Thilmany,Dawn,Ag and Food,2024,JA,a,N,1,Thilmany;Van Sandt,A comment on USDA Food Business Centers: Collaborations to nurture innovation,Food Policy,10.1016/j.foodpol.2024.102727,thilmanydawn.txt
Costanigro,Marco,Ag and Food,2025,JA,a,N,0,,The Information Value of Geographical Indications,Food Policy,10.1016/j.foodpol.2024.102769,costanigromarco.txt
Chenarides,Lauren,Ag and Food,2025,JA,a,N,0,,Dollar-Store Impact on Local Labor Markets and Retail Activity,Food Policy,10.1016/j.foodpol.2025.102827,chenarideslauren.txt
Chenarides,Lauren,Ag and Food,2025,JA,a,N,0,,A Review of Data Linkages for Policy-Informing Research in Food and Ag Economics,Food Policy,10.1016/j.foodpol.2025.102996,chenarideslauren.txt
Berning,Joshua,Ag and Food,2023,JA,a,N,1,Berning;Cleary,Food Insecurity Among Immigrant Populations in the United States,Food Security,10.1007/s12571-022-01322-8,berningjoshua.txt
Cleary,Rebecca,Ag and Food,2023,JA,a,N,1,Berning;Cleary,Food Insecurity Among Immigrant Populations in the United States,Food Security,10.1007/s12571-022-01322-8,clearyrebecca.txt
Hoag,Dana,ENRE,2024,JA,b,N,0,,Bilateral trade welfare impacts of India’s export ban of non-basmati rice using the Global Partial Equilibrium Simulation Model (GSIM),Foods,10.3390/foods13193124,Google Scholar
Magnan,Nicholas,Ag and Food,2023,JA,a,Y,0,,A Spatial Dependent Approach to Assessing Impacts of Sustainable Forestry Initiative Certification,Forest Policy and Economics,10.1016/j.forpol.2023.103071,magnannicholas.txt
Bayham,Jude,ENRE,2024,JA,a,N,0,,Retention of Highly Qualified Wildland Firefighters in the Western US,Forest Policy and Economics,10.1016/j.forpol.2023.103115,bayhamjude.txt
Van Sandt,Anders,Ag and Food,2025,JA,a,N,0,,Unwinding the Spiral of Silence in Rural America,Frontiers in Climate,10.3389/fclim.2025.1398452,vansandtanders.txt
DeLay,Nathan,Ag and Food,2025,JA,a,N,1,DeLay;Ritten,Incorporating Virtual Fencing to Manage Yearling Steers on Extensive Rangelands,Frontiers in Veterinary Science,10.3389/fvets.2025.1637190,delaynathan.txt
Ritten,John,Ag and Food,2025,JA,a,N,1,DeLay;Ritten,Incorporating Virtual Fencing to Manage Yearling Steers on Extensive Rangelands,Frontiers in Veterinary Science,10.3389/fvets.2025.1637190,rittenjohn.txt
Countryman,Amanda,Ag and Food,2025,JA,a,Y,0,,Potential economy-wide impacts of an African swine fever outbreak in the United States,Frontiers in Veterinary Science,10.3389/fvets.2026.1752899,Google Scholar
Bayham,Jude,ENRE,2021,JA,b,N,0,,Time Reallocation and the Cost and Benefit of School Closures During an Epidemic,Frontiers of Economics in China,10.54605/fec20210204,bayhamjude.txt
Bayham,Jude,ENRE,2022,JA,a,N,0,,The Unintended Benefits of the Conservation Reserve Program for Air Quality,GeoHealth,10.1029/2022gh000648,bayhamjude.txt
Burkhardt,Jesse,ENRE,2026,JA,a,,0,,Soil Organic Carbon Improves Crop Yield and Yield Resilience,Global Change Biology,10.1111/gcb.70909,Google Scholar
Burkhardt,Jesse,ENRE,2023,JA,a,N,1,Burkhardt;Hoag,Willingness to pay for reintroducing wolves in a divided voting base,Global Ecology and Conservation,10.1016/j.gecco.2023.e02576,burkhardtjesse.txt
Hoag,Dana,ENRE,2023,JA,a,N,1,Burkhardt;Hoag,Willingness to pay for reintroducing wolves in a divided voting base,Global Ecology and Conservation,10.1016/j.gecco.2023.e02576,hoagdana.txt
Ritten,John,Ag and Food,2025,JA,a,N,0,,Context is Key to Understand and Improve Livestock Production Systems,Global Food Security,10.1016/j.gfs.2025.100840,rittenjohn.txt
Chenarides,Lauren,Ag and Food,2024,JA,b,N,0,,Creating Engagements: Bringing the user into Data Democratization,Harvard Data Science Review,10.1162/99608f92.24c26aa9,chenarideslauren.txt
Berning,Joshua,Ag and Food,2021,JA,b,N,0,,GMO Turfgrass Introduction to the Market,HortScience,10.21273/hortsci15871-21,berningjoshua.txt
Hoag,Dana,ENRE,2025,JA,a,N,0,,US livestock producer interest in alternatives to compensation programs for wolf depredation,Human Dimensions of Wildlife,10.1080/10871209.2024.2414880,Google Scholar
DeLay,Nathan,Ag and Food,2021,JA,a,N,0,,LATTICE: Machine Learning Data Engineering and Policy for Digital Agriculture,IEEE Open Journal of the Computer Society,10.1109/OJCS.2021.3085846,delaynathan.txt
Bayham,Jude,ENRE,2022,JA,a,N,0,,Model-Based Evaluation of Policy Impacts and COVID-19 Risk at Long Term Care Facilities,Infectious Disease Modelling,10.1016/j.idm.2022.07.003,bayhamjude.txt
Chenarides,Lauren,Ag and Food,2025,JA,a,N,0,,Machine learning in applied economics and agribusiness,International Food and Agribusiness Management Review,10.22434/ifamr.0001,chenarideslauren.txt
Cleary,Rebecca,Ag and Food,2022,JA,a,N,0,,Facility Locations in the Fresh Produce Supply Chain,International Journal of Production Economics,10.1016/j.ijpe.2022.108534,clearyrebecca.txt
Ritten,John,Ag and Food,2023,JA,a,Y,0,,A ranching economic analysis of ventenata control in northeast Wyoming,Invasive Plant Science and Management,10.1017/inp.2023.8,rittenjohn.txt
Hoag,Dana,ENRE,2026,JA,b,N,0,,Stochastic Risk and Economic Analyses of Hydroponic Systems for Vegetable Production under Arid Lands Conditions,J. Agricultural and Environmental Information Systems,nodoi,Google Scholar
Mooney,Daniel,Ag and Food,2025,JA,b,N,0,,Hemp Farming and Credit Access in the United States,Journal of Agribusiness,10.22004/ag.econ.387628,mooneydaniel.txt
Mooney,Daniel,Ag and Food,2023,JA,a,Y,0,,Comparative Profitability of Irrigated Cropping Activities for Temporary Water Transfers,Journal of Agricultural and Resource Economics,10.22004/ag.econ.320671,mooneydaniel.txt
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,0,,I say Milk you say Mylk: Demand separability and substitution in a broadened milk category,Journal of Agricultural and Resource Economics,10.22004/ag.econ.320675,bonannoalessandrocv.txt
Bayham,Jude,ENRE,2023,JA,a,N,1,Bayham;Suter,Reductions in National Forest Campground Reservation Demand from Wildfire,Journal of Agricultural and Resource Economics,10.22004/ag.econ.322851,bayhamjude.txt
Suter,Jordan,ENRE,2023,JA,a,N,1,Bayham;Suter,Reductions in National Forest Campground Reservation Demand from Wildfire,Journal of Agricultural and Resource Economics,10.22004/ag.econ.322851,suterjordan.txt
Countryman,Amanda,Ag and Food,2024,JA,a,Y,0,,Economy-Wide Effects of Bovine Spongiform Encephalopathy in Brazil,Journal of Agricultural and Resource Economics,10.22004/ag.econ.342181,countrymanamanda.txt
Cleary,Rebecca,Ag and Food,2024,JA,a,N,0,,Health News Environment and the Distribution of Diet Quality,Journal of Agricultural and Resource Economics,10.22004/ag.econ.342182,clearyrebecca.txt
DeLay,Nathan,Ag and Food,2025,JA,a,N,1,DeLay;Mooney;Ritten,Climate and Consolidation in the US Beef Cow Sector,Journal of Agricultural and Resource Economics,10.22004/ag.econ.344684,delaynathan.txt
Mooney,Daniel,Ag and Food,2025,JA,a,N,1,DeLay;Mooney;Ritten,Climate and Consolidation in the US Beef Cow Sector,Journal of Agricultural and Resource Economics,10.22004/ag.econ.344684,mooneydaniel.txt
Ritten,John,Ag and Food,2025,JA,a,N,1,DeLay;Mooney;Ritten,Climate and Consolidation in the US Beef Cow Sector,Journal of Agricultural and Resource Economics,10.22004/ag.econ.344684,rittenjohn.txt
DeLay,Nathan,Ag and Food,2022,JA,a,N,0,,Precision Agriculture Adoption and Technical Efficiency,Journal of Agricultural Economics,10.1111/1477-9552.12440,delaynathan.txt
Enns,Kellie,Ag Ed,2022,JA,b,N,0,,Agrarianism in Agricultural Education: A Narrative Study,Journal of Agricultural Education,10.5032/jae.2022.03135,ennskellie.txt
Bennett,Jenny,Ag Ed,2025,JA,b,N,0,,Understanding Barriers to SAE Implementation and Professional Development Needs,Journal of Agricultural Education,10.5032/jae.v66i4.3220,bennettjenny.txt
Bennett,Jenny,Ag Ed,2026,JA,b,U,1,Bennett;Clark;Enns,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge,Journal of Agricultural Education,10.5032/jae.v67i1.3218,clarknathan.txt
Clark,Nathan,Ag Ed,2026,JA,b,N,1,Bennett;Clark;Enns,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge,Journal of Agricultural Education,10.5032/jae.v67i1.3218,clarknathan.txt
Enns,Kellie,Ag Ed,2026,JA,b,U,1,Bennett;Clark;Enns,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge,Journal of Agricultural Education,10.5032/jae.v67i1.3218,clarknathan.txt
Hill,Alexandra,Ag and Food,2022,JA,a,N,0,,Estimating the Nonfatal Injury Undercount in Agriculture from 2004-2019,Journal of Agricultural Safety and Health,10.13031/jash.15039,hillalexandra.txt
Mooney,Daniel,Ag and Food,2021,JA,a,Y,0,,Evaluation of Biological and Economic Efficiency of the All Heifer No Cow Beef Production System,Journal of Animal Science,10.1093/jas/skaa405,mooneydaniel.txt
Enns,Kellie,Ag Ed,2025,JA,a,U,1,Enns;Ritten,Evaluation of cattle sub-species and growth-promoting technology on growth performance,Journal of Animal Science,10.1093/jas/skaf322,rittenjohn.txt
Ritten,John,Ag and Food,2025,JA,a,N,1,Enns;Ritten,Evaluation of cattle sub-species and growth-promoting technology on growth performance,Journal of Animal Science,10.1093/jas/skaf322,rittenjohn.txt
Ritten,John,Ag and Food,2025,JA,a,,0,,"Evaluation of cattle sub-species and growth-promoting technology on growth performance, carcass characteristics, and enteric gas flux of steers finished in winter feedlot conditions",Journal of Animal Science,10.1093/jas/skaf448,Google Scholar
Suter,Jordan,ENRE,2025,JA,a,N,0,,Time pressure and motivated delay effects on sanctioning in a social dilemma,Journal of Behavioral and Experimental Economics,10.1016/j.socec.2025.102403,suterjordan.txt
Burkhardt,Jesse,ENRE,2023,JA,a,N,0,,Sustainability of lettuce production: local and centralized food production,Journal of Cleaner Production,10.1016/j.jclepro.2023.139224,burkhardtjesse.txt
Hoag,Dana,ENRE,2025,JA,a,N,0,,Life cycle assessment of open and closed hydroponic systems for vegetable production,Journal of Cleaner Production,10.1016/j.jclepro.2025.146920,hoagdana.txt
DeLay,Nathan,Ag and Food,2026,JA,a,,0,,Integrating automated body condition scores and lactation data via optimization algorithms for maximized milk revenue and minimized cost of delayed conception in dairy cows,Journal of Dairy Science,10.3168/jds.2025-28132,Google Scholar
Magnan,Nicholas,Ag and Food,2021,JA,a,Y,0,,Information Technology and Market Rewards: Incentivizing Aflatoxin Control in Ghana,Journal of Development Economics,10.1016/j.jdeveco.2020.102620,magnannicholas.txt
Magnan,Nicholas,Ag and Food,2025,JA,a,Y,0,,Going the Distance: Hybrid Vocational Training for Women in Nepal,Journal of Development Economics,10.1016/j.jdeveco.2024.103414,magnannicholas.txt
Magnan,Nicholas,Ag and Food,2024,JA,a,Y,0,,Challenges to Groundnut Value Chain Development: Lessons from an Attempted Experiment in Ghana,Journal of Development Effectiveness,10.1080/19439342.2024.2319657,magnannicholas.txt
Suter,Jordan,ENRE,2022,JA,a,U,0,,Experimental Evidence of Common Pool Resource Use in the Presence of Uncertainty,Journal of Economic Behavior and Organization,10.1016/j.jebo.2021.12.012,suterjordan.txt
Magnan,Nicholas,Ag and Food,2022,JA,a,N,0,,Demand for Weather Index Insurance among Smallholder Farmers under Prospect Theory,Journal of Economic Behavior and Organization,10.1016/j.jebo.2022.07.027,magnannicholas.txt
Van Sandt,Anders,Ag and Food,2025,JA,a,N,0,,Revealing US Retail Industries Functional Hierarchy Through Demand Thresholds,Journal of Economic Structures,10.1186/s40008-025-00359-0,vansandtanders.txt
Woerman,Matt,ENRE,2023,JA,a,N,0,,Linking carbon markets with different initial conditions,Journal of Environmental Economics and Management,10.1016/j.jeem.2023.102820,woermanmatt.txt
Goemans,Chris,ENRE,2025,JA,a,N,1,Goemans;Manning,Insurance and Extraction Incentives in a Common Pool Resource,Journal of Environmental Economics and Management,10.1016/j.jeem.2025.103125,goemanschris.txt
Bayham,Jude,ENRE,2022,JA,a,N,1,Bayham;Burkhardt,Does air pollution increase electric vehicle adoption,Journal of Environmental Economics and Policy,10.1080/21606544.2022.2059015,bayhamjude.txt
Burkhardt,Jesse,ENRE,2022,JA,a,N,1,Bayham;Burkhardt,Does air pollution increase electric vehicle adoption,Journal of Environmental Economics and Policy,10.1080/21606544.2022.2059015,burkhardtjesse.txt
Countryman,Amanda,Ag and Food,2022,JA,a,Y,0,,Economic and Environmental Impacts of Ballast Water Management on SIDS and LDCs,Journal of Environmental Management,10.1016/j.jenvman.2021.113779,countrymanamanda.txt
Ritten,John,Ag and Food,2023,JA,a,N,0,,Ranch-Level Economic Benefits of Working Lands Greater Sage-Grouse Conservation Programs,Journal of Environmental Management,10.1016/j.jenvman.2022.116420,rittenjohn.txt
Ritten,John,Ag and Food,2024,JA,a,N,0,,The LTAR Grazingland Common Experiment at the Central Plains Experimental Range,Journal of Environmental Quality,10.1002/jeq2.20599,rittenjohn.txt
Ritten,John,Ag and Food,2025,JA,a,N,0,,Building consensus toward an effective performance indicator framework for sustainable farms,Journal of Environmental Quality,10.1002/jeq2.70051,rittenjohn.txt
Countryman,Amanda,Ag and Food,2021,JA,b,Y,0,,Potential Impacts of Hard Infrastructure Development on Food and Agricultural Trade,Journal of Food Distribution Research,10.22004/ag.econ.317782,countrymanamanda.txt
Thilmany,Dawn,Ag and Food,2023,JA,b,Y,0,,Price Transmission and Asymmetry in the Colorado Potato Supply Chain,Journal of Food Distribution Research,10.22004/ag.econ.339678,thilmanydawn.txt
Bayham,Jude,ENRE,2023,JA,a,N,0,,Wildfire Response: A System on the Brink,Journal of Forestry,10.1093/jofore/fvac042,bayhamjude.txt
Burkhardt,Jesse,ENRE,2022,JA,a,N,0,,Smoke-Driven Changes in Photosynthetically Active Radiation During US Growing Season,Journal of Geophysical Research: Atmospheres,10.1029/2022jd037446,burkhardtjesse.txt
Van Sandt,Anders,Ag and Food,2026,JA,a,,0,,Nurse practitioner training and local medical provider supply,Journal of Health Economics,10.1016/j.jhealeco.2026.103121,Google Scholar
Cleary,Rebecca,Ag and Food,2024,JA,a,N,0,,Determining the Optimal Food Hub Location in the Fresh Produce Supply Chain,Journal of Modelling in Management,10.1108/jm2-02-2024-0042,clearyrebecca.txt
Suter,Jordan,ENRE,2023,JA,a,N,0,,Camping in Clearcuts: Impacts of Timber Harvesting on USFS Campground Utilization,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100690,suterjordan.txt
Costanigro,Marco,Ag and Food,2021,JA,a,Y,1,Costanigro;Frasier;Jablonski,The Impact of State Farm to School Procurement Incentives on School Purchasing Decisions,Journal of School Health,10.1111/josh.13013,costanigromarco.txt
Frasier,Marshall,Ag and Food,2021,JA,a,,1,Costanigro;Frasier;Jablonski,The Impact of State Farm to School Procurement Incentives on School Purchasing Decisions,Journal of School Health,10.1111/josh.13013,Google Scholar
Jablonski,Becca,Ag and Food,2021,JA,a,,1,Costanigro;Frasier;Jablonski,The Impact of State Farm to School Procurement Incentives on School Purchasing Decisions,Journal of School Health,10.1111/josh.13013,Google Scholar
Burkhardt,Jesse,ENRE,2024,JA,a,N,0,,Delivering affordable clean energy to consumers,Journal of the Academy of Marketing Science,10.1007/s11747-024-01003-2,burkhardtjesse.txt
Chenarides,Lauren,Ag and Food,2024,JA,b,N,1,Chenarides;Jablonski;Thilmany,Federal Economic Data on Local and Regional Food Producers,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.131,chenarideslauren.txt
Jablonski,Becca,Ag and Food,2024,JA,b,U,1,Chenarides;Jablonski;Thilmany,Federal Economic Data on Local and Regional Food Producers,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.131,chenarideslauren.txt
Thilmany,Dawn,Ag and Food,2024,JA,b,N,1,Chenarides;Jablonski;Thilmany,Federal Economic Data on Local and Regional Food Producers,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.131,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2026,JA,a,,0,,Regionalizing the food dollar,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.70044,Google Scholar
Countryman,Amanda,Ag and Food,2023,JA,a,Y,0,,Potential economic impacts of foot-and-mouth disease in Brazil,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.73,countrymanamanda.txt
Suter,Jordan,ENRE,2023,JA,a,N,0,,"Seasons, Stress, Salience, and Support for Cooperative Groundwater Management",Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.78,suterjordan.txt
Mooney,Daniel,Ag and Food,2023,JA,b,N,0,,Estimating the Ex-Ante Adoption Determinants of Novel Cropping Systems with Nonpecuniary Benefits,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.93,mooneydaniel.txt
Bonanno,Alessandro,Ag and Food,2024,JA,b,N,0,,Farm to School Programming Spillovers and Households Fruits and Vegetables Purchases,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.95,bonannoalessandrocv.txt
Mooney,Daniel,Ag and Food,2024,JA,b,Y,0,,Total Ranch Analysis Colorado (TRAC): A Ranch Benchmarking Program,Journal of the American Society of Farm Managers and Rural Appraisers,10.22004/ag.econ.342913,mooneydaniel.txt
Ritten,John,Ag and Food,2022,JA,b,Y,0,,Farm-Level Economics of Bioenergy in the Upper Missouri River Basin,Journal of the American Society of Farm Managers and Rural Appraisers,nodoi,rittenjohn.txt
Ritten,John,Ag and Food,2024,JA,b,Y,0,,Feasibility of Integrating Cover Crops into Irrigated Barley,Journal of the American Society of Farm Managers and Rural Appraisers,nodoi,rittenjohn.txt
Goemans,Chris,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Policy Leakage or Policy Benefit? Spatial Spillovers from Conservation Policies,Journal of the Association of Environmental and Resource Economists,10.1086/714148,goemanschris.txt
Manning,Dale,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Policy Leakage or Policy Benefit? Spatial Spillovers from Conservation Policies,Journal of the Association of Environmental and Resource Economists,10.1086/714148,manningdale.txt
Suter,Jordan,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Policy Leakage or Policy Benefit? Spatial Spillovers from Conservation Policies,Journal of the Association of Environmental and Resource Economists,10.1086/714148,suterjordan.txt
Manning,Dale,ENRE,2022,JA,a,N,0,,Ecosystem Services and Land Rental Markets: Producer Costs of Bat Population Crashes,Journal of the Association of Environmental and Resource Economists,10.1086/720303,manningdale.txt
Kroll,Stephan,ENRE,2024,JA,a,N,0,,International Climate Agreements under the Threat of Solar Geoengineering,Journal of the Association of Environmental and Resource Economists,10.1086/728140,krollstephan.txt
Woerman,Matt,ENRE,2024,JA,a,N,0,,Intermittency or uncertainty? Impacts of renewable energy in electricity markets,Journal of the Association of Environmental and Resource Economists,10.1086/729841,woermanmatt.txt
Costanigro,Marco,Ag and Food,2021,JA,a,N,1,Costanigro;Jablonski,Consumer Stigma and the Reputation Trap Hypothesis,Journal of Wine Economics,10.1017/jwe.2021.8,costanigromarco.txt
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Costanigro;Jablonski,Consumer Stigma and the Reputation Trap Hypothesis,Journal of Wine Economics,10.1017/jwe.2021.8,costanigromarco.txt
DeLay,Nathan,Ag and Food,2024,JA,a,N,0,,Value of Farm Data in Farmland Rental Markets,Land Economics,10.3368/le.100.4.041023-0032R1,delaynathan.txt
Lewis,Lynne,ENRE,2024,JA,a,N,0,,Fat Tails and WTP: Kristrom revisited,Land Economics,10.3368/le.100.4.060823-0052r,lewislynne.txt
Bayham,Jude,ENRE,2026,JA,a,N,0,,Are mobility data a substitute for travel cost surveys,Land Economics,10.3368/le.102.3.012626-0015,bayhamjude.txt
Suter,Jordan,ENRE,2021,JA,a,N,0,,The Importance of Well Yield in Groundwater Demand Specification,Land Economics,10.3368/wple.97.3.030320-0031r1,suterjordan.txt
Burkhardt,Jesse,ENRE,2023,JA,a,N,0,,Field experimental evidence on the effect of pricing on residential electricity conservation,Management Science,10.1287/mnsc.2020.02074,burkhardtjesse.txt
Countryman,Amanda,Ag and Food,2024,JA,a,Y,0,,Consumer willingness to pay for beef based on color and price discounts,Meat Science,10.1016/j.meatsci.2024.109597,countrymanamanda.txt
Bayham,Jude,ENRE,2021,JA,b,N,0,,Maximizing the Efficiency of Active Case Finding for SARS-CoV-2 Using Bandit Algorithms,Medical Decision Making,10.1177/0272989x211021603,bayhamjude.txt
Enns,Kellie,Ag Ed,2023,JA,b,Y,0,,Impacts of the COVID-19 Pandemic on Student Performance and Perceptions of Learning,NACTA Journal,10.56103/nactaj.v67i1.94,ennskellie.txt
Bennett,Jenny,Ag Ed,2025,JA,b,N,1,Bennett;Clark;Enns,An examination of the effectiveness of an institutional intervention to improve retention,NACTA Journal,10.56103/nactaj.v69i1.210,bennettjenny.txt
Clark,Nathan,Ag Ed,2025,JA,b,N,1,Bennett;Clark;Enns,An examination of the effectiveness of an institutional intervention to improve retention,NACTA Journal,10.56103/nactaj.v69i1.210,clarknathan.txt
Enns,Kellie,Ag Ed,2025,JA,b,N,1,Bennett;Clark;Enns,An examination of the effectiveness of an institutional intervention to improve retention,NACTA Journal,10.56103/nactaj.v69i1.210,ennskellie.txt
Woerman,Matt,ENRE,2026,JA,a,,0,,Reproducibility and robustness of economics and political science research,Nature,10.1038/s41586-026-10251-x,Google Scholar
Burkhardt,Jesse,ENRE,2025,JA,a,N,0,,Solar energy resource availability under extreme and historical wildfire smoke conditions,Nature Communications,10.1038/s41467-024-54163-8,burkhardtjesse.txt
Seidl,Andrew,ENRE,2021,JA,a,N,0,,The effectiveness of national biodiversity investments to protect the wealth of nature,Nature Ecology and Evolution,10.1038/s41559-020-01372-1,seidlandrew.txt
Seidl,Andrew,ENRE,2023,JA,a,N,0,,Crowdfunding marine and coastal parks and protected areas,Ocean & Coastal Management,10.1016/j.ocecoaman.2023.106726,seidlandrew.txt
Seidl,Andrew,ENRE,2021,JA,a,N,0,,Building sustainable financing for resilient protected and conserved areas,PARKS,10.2305/IUCN.CH.2021.PARKS-27-SITC.en,seidlandrew.txt
Hoag,Dana,ENRE,2026,JA,a,N,0,,Drivers of wolf depredation reporting and compensation use intentions by livestock producers,PeerJ,10.7717/peerj.20732,Google Scholar
Suter,Jordan,ENRE,2022,JA,a,Y,0,,Summer Crowds: USFS Campground Reservations During the COVID-19 Pandemic,PLOS ONE,10.1371/journal.pone.0261833,suterjordan.txt
Countryman,Amanda,Ag and Food,2024,JA,a,Y,0,,Economic effects of livestock disease burden in Ethiopia: a CGE analysis,PLOS ONE,10.1371/journal.pone.0310268,countrymanamanda.txt
DeLay,Nathan,Ag and Food,2025,JA,a,N,1,DeLay;Mooney,Externalities in Wild Pig Damages on US Crop and Livestock Farms,PLOS ONE,10.1371/journal.pone.0320316,delaynathan.txt
Mooney,Daniel,Ag and Food,2025,JA,a,N,1,DeLay;Mooney,Externalities in Wild Pig Damages on US Crop and Livestock Farms,PLOS ONE,10.1371/journal.pone.0320316,mooneydaniel.txt
Goemans,Chris,ENRE,2024,JA,a,N,0,,A review of residential water conservation policies,PLOS Water,10.1371/journal.pwat.0000278,goemanschris.txt
DeLay,Nathan,Ag and Food,2021,JA,a,N,0,,Understanding the Farm Data Lifecycle,Precision Agriculture,10.1007/s11119-021-09807-w,delaynathan.txt
Countryman,Amanda,Ag and Food,2025,JA,a,U,0,,Integrating epidemiological and economic models to estimate FMD outbreak cost in Brazil,Preventive Veterinary Medicine,10.1016/j.prevetmed.2025.106558,countrymanamanda.txt
Bayham,Jude,ENRE,2021,JA,a,N,0,,Measuring voluntary and policy-induced social distancing behavior during COVID-19,Proceedings of the National Academy of Sciences,10.1073/pnas.2008814118,bayhamjude.txt
Countryman,Amanda,Ag and Food,2021,JA,b,N,0,,"The Impacts of COVID-19 on GDP, food prices, and food security",Q Open,10.1093/qopen/qoab005,countrymanamanda.txt
Kroll,Stephan,ENRE,2021,JA,b,N,0,,Inequality Hinders Group Efforts to Avoid Environmental Disasters,Q Open,10.1093/qopen/qoab006,krollstephan.txt
Countryman,Amanda,Ag and Food,2021,JA,b,N,0,,Safeguard Measures and Fresh Produce Trade: U.S. Blueberry Imports,Q Open,10.1093/qopen/qoab018,countrymanamanda.txt
Countryman,Amanda,Ag and Food,2022,JA,b,Y,0,,Economic Assessment of Foot-and-Mouth Disease Outbreaks in Brazil,Q Open,10.1093/qopen/qoac028,countrymanamanda.txt
Mooney,Daniel,Ag and Food,2023,JA,b,N,0,,Type and Frequency of Wild Pig-Domestic Livestock Contacts and Operator Concern,Q Open,10.1093/qopen/qoad027,mooneydaniel.txt
Chouinard,Hayley,Ag and Food,2026,JA,a,,1,Chouinard;Costanigro,"Food fights in the classroom: a case study exploring the connections between economic reasoning, critical thinking, engagement, and dialogue in polarized contexts",Q Open,10.1093/qopen/qoag010,Google Scholar
Costanigro,Marco,Ag and Food,2026,JA,a,,1,Chouinard;Costanigro,"Food fights in the classroom: a case study exploring the connections between economic reasoning, critical thinking, engagement, and dialogue in polarized contexts",Q Open,10.1093/qopen/qoag010,Google Scholar
Thilmany,Dawn,Ag and Food,2026,JA,a,,0,,Assessing Factors Contributing to a Healthy Work Ecosystem in the Applied Economics Profession,Q Open,10.1093/qopen/qoag018,Google Scholar
Ritten,John,Ag and Food,2022,JA,a,Y,0,,Evaluating economic impacts of prairie dog-cattle competition on ranching enterprises,Rangeland Ecology & Management,10.1016/j.rama.2022.09.003,rittenjohn.txt
Ritten,John,Ag and Food,2024,JA,a,N,0,,Flexible Stocking: Livestock Production and Economic Responses in Mixed-Grass Prairie,Rangeland Ecology & Management,10.1016/j.rama.2024.01.007,rittenjohn.txt
Hoag,Dana,ENRE,2024,JA,a,N,0,,"What's in a Name? Standardizing Terminology for the Enhancement of Research, Extension, and Industry Applications of Virtual Fence Use on Grazing Livestock",Rangeland Ecology & Management,10.1016/j.rama.2024.03.004,Google Scholar
Ritten,John,Ag and Food,2025,JA,a,N,0,,Does drought intensify effects of black-tailed prairie dog on livestock production,Rangeland Ecology & Management,10.1016/j.rama.2024.04.011,rittenjohn.txt
Hoag,Dana,ENRE,2024,JA,a,Y,1,Hoag;Mooney,Beef Cattle Producer Perspectives on Virtual Fencing,Rangeland Ecology & Management,10.1016/j.rama.2024.06.004,hoagdana.txt
Mooney,Daniel,Ag and Food,2024,JA,a,Y,1,Hoag;Mooney,Beef Cattle Producer Perspectives on Virtual Fencing,Rangeland Ecology & Management,10.1016/j.rama.2024.06.004,mooneydaniel.txt
Ritten,John,Ag and Food,2025,JA,a,Y,0,,US Beef Cattle Inventory Trends with Implications for Land Use and Rangelands,Rangeland Ecology & Management,10.1016/j.rama.2025.01.007,rittenjohn.txt
Ritten,John,Ag and Food,2025,JA,a,N,0,,Does Initial Body Size Influence Weight Gain of Stocker Steers,Rangeland Ecology & Management,10.1016/j.rama.2025.08.009,rittenjohn.txt
